file_id.x,article_id,sn,newspaper_name.x,year,month,day,page,edition.x,mod_id,newspaper_state,url_fixed,url2.x,date,file_id2.x,file_id.y,num_annotations,file_id2.y,newspaper_name.y,newspaper_city.y,state,url.y,lynching,attempted_y_n,lynching_state,lynching_city,similar_coverage_y_n,reviewed_by_te
8083,1,sn83016527,True American (New Orleans [La...),1838,8,25,seq-2,ed-1,1,Louisiana,https://articleextractor.org/pages/8083/lu_sands_ver01/sn83016527,https://articleextractor.org/pages/8083/lu_sands_ver01/sn83016527/1838/8/25/ed-1/seq-2/0?user_id=6,1838-08-25T00:00:00Z,8083_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8313,0,sn84020074,The daily Madisonian (Washington City...),1844,9,14,seq-2,ed-1,3,District of Columbia,https://articleextractor.org/pages/8313/dlc_dragon_ver01/sn84020074,https://articleextractor.org/pages/8313/dlc_dragon_ver01/sn84020074/1844/9/14/ed-1/seq-2/0?user_id=6,1844-09-14T00:00:00Z,8313_0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8407,0,sn85038121,"Gallipolis journal (Gallipolis, Ohi...)",1852,7,29,seq-2,ed-1,1,Ohio,https://articleextractor.org/pages/8407/ohi_edgar_ver01/sn85038121,https://articleextractor.org/pages/8407/ohi_edgar_ver01/sn85038121/1852/7/29/ed-1/seq-2/0?user_id=6,1852-07-29T00:00:00Z,8407_0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8409,0,sn82015378,"The daily crescent ([New Orleans, L...)",1851,6,5,seq-2,ed-1,1,Louisiana,https://articleextractor.org/pages/8409/lu_diglett_ver01/sn82015378,https://articleextractor.org/pages/8409/lu_diglett_ver01/sn82015378/1851/6/5/ed-1/seq-2/0?user_id=6,1851-06-05T00:00:00Z,8409_0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8411,0,sn82014764,The southern press (Washington [D.C...),1852,7,2,seq-2,ed-1,1,District of Columbia,https://articleextractor.org/pages/8411/dlc_elf_ver03/sn82014764,https://articleextractor.org/pages/8411/dlc_elf_ver03/sn82014764/1852/7/2/ed-1/seq-2/0?user_id=6,1852-07-02T00:00:00Z,8411_0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8414,0,sn88078726,NA,1853,5,5,seq-2,ed-1,1,Ohio,https://articleextractor.org/pages/8414/ohi_drake_ver01/sn88078726,https://articleextractor.org/pages/8414/ohi_drake_ver01/sn88078726/1853/5/5/ed-1/seq-2/0?user_id=6,1853-05-05T00:00:00Z,8414_0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8424,0,sn83035143,Cleveland morning leader (Cleveland [Ohio...),1858,6,30,seq-2,ed-1,1,Ohio,https://articleextractor.org/pages/8424/ohi_desdemona_ver01/sn83035143,https://articleextractor.org/pages/8424/ohi_desdemona_ver01/sn83035143/1858/6/30/ed-1/seq-2/0?user_id=6,1858-06-30T00:00:00Z,8424_0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8424,1,sn83035143,Cleveland morning leader (Cleveland [Ohio...),1858,6,30,seq-2,ed-1,1,Ohio,https://articleextractor.org/pages/8424/ohi_desdemona_ver01/sn83035143,https://articleextractor.org/pages/8424/ohi_desdemona_ver01/sn83035143/1858/6/30/ed-1/seq-2/0?user_id=6,1858-06-30T00:00:00Z,8424_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8424,2,sn83035143,Cleveland morning leader (Cleveland [Ohio...),1858,6,30,seq-2,ed-1,1,Ohio,https://articleextractor.org/pages/8424/ohi_desdemona_ver01/sn83035143,https://articleextractor.org/pages/8424/ohi_desdemona_ver01/sn83035143/1858/6/30/ed-1/seq-2/0?user_id=6,1858-06-30T00:00:00Z,8424_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8424,3,sn83035143,Cleveland morning leader (Cleveland [Ohio...),1858,6,30,seq-2,ed-1,1,Ohio,https://articleextractor.org/pages/8424/ohi_desdemona_ver01/sn83035143,https://articleextractor.org/pages/8424/ohi_desdemona_ver01/sn83035143/1858/6/30/ed-1/seq-2/0?user_id=6,1858-06-30T00:00:00Z,8424_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8428,0,sn83030364,New-York dispatch (New York [N.Y.]),1857,4,12,seq-6,ed-1,1,New York,https://articleextractor.org/pages/8428/dlc_collins_ver01/sn83030364,https://articleextractor.org/pages/8428/dlc_collins_ver01/sn83030364/1857/4/12/ed-1/seq-6/0?user_id=6,1857-04-12T00:00:00Z,8428_0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8446,0,sn84024738,The daily dispatch (Richmond [Va.]),1855,10,5,seq-1,ed-1,1,Virginia,https://articleextractor.org/pages/8446/vi_manowar_ver01/sn84024738,https://articleextractor.org/pages/8446/vi_manowar_ver01/sn84024738/1855/10/5/ed-1/seq-1/0?user_id=6,1855-10-05T00:00:00Z,8446_0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8477,0,sn85034360,Lynchburg daily Virginian (Lynchburg [Va.]),1853,9,8,seq-2,ed-1,1,Virginia,https://articleextractor.org/pages/8477/vi_exmoor_ver01/sn85034360,https://articleextractor.org/pages/8477/vi_exmoor_ver01/sn85034360/1853/9/8/ed-1/seq-2/0?user_id=6,1853-09-08T00:00:00Z,8477_0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8481,0,sn82015753,"New Orleans daily crescent ([New Orleans, L...)",1854,1,11,seq-2,ed-1,1,Louisiana,https://articleextractor.org/pages/8481/lu_pearse_ver01/sn82015753,https://articleextractor.org/pages/8481/lu_pearse_ver01/sn82015753/1854/1/11/ed-1/seq-2/0?user_id=6,1854-01-11T00:00:00Z,8481_0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
