"newspaper","location","date","full_text"
"The Cleveland gazette.","Cleveland, Ohio","September 05, 1891","The Cleveland gazette. [volume] (Cleveland, Ohio), September 05, 1891, Image 1"
"The Washington bee.","Washington, D.C.","October 29, 1892","The Washington bee. [volume] (Washington, D.C.), October 29, 1892, Image 3"
"Afro-American advocate.","Coffeyville, Kan.","August 19, 1892","Afro-American advocate. [volume] (Coffeyville, Kan.), August 19, 1892, Image 2"
"The freeman.","Indianapolis [Ind.]","June 11, 1892","The freeman. [volume] (Indianapolis [Ind.]), June 11, 1892, Image 4"
"The Washington bee.","Washington, D.C.","October 29, 1892","The Washington bee. [volume] (Washington, D.C.), October 29, 1892, Image 1"
"The freeman.","Indianapolis [Ind.]","August 20, 1892","The freeman. [volume] (Indianapolis [Ind.]), August 20, 1892, Image 4"
"The New York age.","New York [N.Y.]","November 19, 1892","The New York age. [volume] (New York [N.Y.]), November 19, 1892, Image 1"
"The Cleveland gazette.","Cleveland, Ohio","October 15, 1892","The Cleveland gazette. [volume] (Cleveland, Ohio), October 15, 1892, Page 2, Image 2"
"The New York age.","New York [N.Y.]","February 06, 1892","The New York age. [volume] (New York [N.Y.]), February 06, 1892, Image 2"
"The freeman.","Indianapolis [Ind.]","December 17, 1892","The freeman. [volume] (Indianapolis [Ind.]), December 17, 1892, Image 9"
"The freeman.","Indianapolis [Ind.]","July 02, 1892","The freeman. [volume] (Indianapolis [Ind.]), July 02, 1892, Image 6"
"The Cleveland gazette.","Cleveland, Ohio","February 06, 1892","The Cleveland gazette. [volume] (Cleveland, Ohio), February 06, 1892, Page 2, Image 2"
"The Cleveland gazette.","Cleveland, Ohio","July 09, 1892","The Cleveland gazette. [volume] (Cleveland, Ohio), July 09, 1892, Image 1"
"The Anaconda standard.","Anaconda, Mont.","November 09, 1892","The Anaconda standard. [volume] (Anaconda, Mont.), November 09, 1892, Page 2, Image 2"
"The Cleveland gazette.","Cleveland, Ohio","May 28, 1892","The Cleveland gazette. [volume] (Cleveland, Ohio), May 28, 1892, Page 2, Image 2"
"The Helena independent.","Helena, Mont.","August 21, 1892","The Helena independent. [volume] (Helena, Mont.), August 21, 1892, Morning, Page 10, Image 10"
"The freeman.","Indianapolis [Ind.]","May 07, 1892","The freeman. [volume] (Indianapolis [Ind.]), May 07, 1892, Image 3"
"The Washington bee.","Washington, D.C.","June 11, 1892","The Washington bee. [volume] (Washington, D.C.), June 11, 1892, Image 2"
"The Appeal.","Saint Paul, Minn. ;","August 27, 1892","The Appeal. [volume] (Saint Paul, Minn. ;), August 27, 1892, Image 1"
"The New York age.","New York [N.Y.]","November 19, 1892","The New York age. [volume] (New York [N.Y.]), November 19, 1892, Image 2"
"The Appeal.","Saint Paul, Minn. ;","August 20, 1892","The Appeal. [volume] (Saint Paul, Minn. ;), August 20, 1892, Page 2, Image 2"
"The freeman.","Indianapolis [Ind.]","November 25, 1893","The freeman. [volume] (Indianapolis [Ind.]), November 25, 1893, Image 5"
"Afro-American advocate.","Coffeyville, Kan.","April 28, 1893","Afro-American advocate. [volume] (Coffeyville, Kan.), April 28, 1893, Image 4"
"Afro-American advocate.","Coffeyville, Kan.","May 05, 1893","Afro-American advocate. [volume] (Coffeyville, Kan.), May 05, 1893, Image 4"
"Afro-American advocate.","Coffeyville, Kan.","August 11, 1893","Afro-American advocate. [volume] (Coffeyville, Kan.), August 11, 1893, Image 4"
"The freeman.","Indianapolis [Ind.]","February 25, 1893","The freeman. [volume] (Indianapolis [Ind.]), February 25, 1893, Image 5"
"Afro-American advocate.","Coffeyville, Kan.","May 26, 1893","Afro-American advocate. [volume] (Coffeyville, Kan.), May 26, 1893, Image 8"
"Afro-American advocate.","Coffeyville, Kan.","May 12, 1893","Afro-American advocate. [volume] (Coffeyville, Kan.), May 12, 1893, Image 4"
"Afro-American advocate.","Coffeyville, Kan.","August 18, 1893","Afro-American advocate. [volume] (Coffeyville, Kan.), August 18, 1893, Image 4"
"The freeman.","Indianapolis [Ind.]","July 08, 1893","The freeman. [volume] (Indianapolis [Ind.]), July 08, 1893, Image 5"
"The Atchison blade.","Atchison, Kan.","October 07, 1893","The Atchison blade. [volume] (Atchison, Kan.), October 07, 1893, Image 2"
"The gazette.","Cleveland, Ohio","February 25, 1893","The gazette. [volume] (Cleveland, Ohio), February 25, 1893, Page 2, Image 2"
"The freeman.","Indianapolis [Ind.]","March 04, 1893","The freeman. [volume] (Indianapolis [Ind.]), March 04, 1893, Image 4"
"The plaindealer.","Detroit, Mich.","February 24, 1893","The plaindealer. [volume] (Detroit, Mich.), February 24, 1893, Image 4"
"The Atchison blade.","Atchison, Kan.","March 25, 1893","The Atchison blade. [volume] (Atchison, Kan.), March 25, 1893, Image 1"
"Afro-American advocate.","Coffeyville, Kan.","April 21, 1893","Afro-American advocate. [volume] (Coffeyville, Kan.), April 21, 1893, Image 4"
"The freeman.","Indianapolis [Ind.]","July 29, 1893","The freeman. [volume] (Indianapolis [Ind.]), July 29, 1893, Image 1"
"Afro-American advocate.","Coffeyville, Kan.","August 25, 1893","Afro-American advocate. [volume] (Coffeyville, Kan.), August 25, 1893, Image 4"
"Afro-American advocate.","Coffeyville, Kan.","September 01, 1893","Afro-American advocate. [volume] (Coffeyville, Kan.), September 01, 1893, Image 4"
"The freeman.","Indianapolis [Ind.]","November 25, 1893","The freeman. [volume] (Indianapolis [Ind.]), November 25, 1893, Image 8"
"The gazette.","Cleveland, Ohio","September 09, 1893","The gazette. [volume] (Cleveland, Ohio), September 09, 1893, Image 1"
"The freeman.","Indianapolis [Ind.]","August 05, 1893","The freeman. [volume] (Indianapolis [Ind.]), August 05, 1893, Image 4"
"Huntsville gazette.","Huntsville, Ala.","July 29, 1893","Huntsville gazette. [volume] (Huntsville, Ala.), July 29, 1893, Image 2"
"The Providence news.","Providence [R.I.]","February 18, 1893","The Providence news. (Providence [R.I.]), February 18, 1893, Image 7"
"The freeman.","Indianapolis [Ind.]","July 08, 1893","The freeman. [volume] (Indianapolis [Ind.]), July 08, 1893, Image 6"
"The Salt Lake herald.","Salt Lake City [Utah]","June 06, 1893","The Salt Lake herald. [volume] (Salt Lake City [Utah]), June 06, 1893, Page 4, Image 4"
"The plaindealer.","Detroit, Mich.","April 28, 1893","The plaindealer. [volume] (Detroit, Mich.), April 28, 1893, Image 4"
"The freeman.","Indianapolis [Ind.]","February 11, 1893","The freeman. [volume] (Indianapolis [Ind.]), February 11, 1893, Image 5"
"The freeman.","Indianapolis [Ind.]","June 03, 1893","The freeman. [volume] (Indianapolis [Ind.]), June 03, 1893, Image 7"
"The freeman.","Indianapolis [Ind.]","March 18, 1893","The freeman. [volume] (Indianapolis [Ind.]), March 18, 1893, Image 5"
"The gazette.","Cleveland, Ohio","March 25, 1893","The gazette. [volume] (Cleveland, Ohio), March 25, 1893, Page 3, Image 3"
"Afro-American advocate.","Coffeyville, Kan.","May 26, 1893","Afro-American advocate. [volume] (Coffeyville, Kan.), May 26, 1893, Image 12"
"Afro-American advocate.","Coffeyville, Kan.","June 30, 1893","Afro-American advocate. [volume] (Coffeyville, Kan.), June 30, 1893, Image 4"
"Afro-American advocate.","Coffeyville, Kan.","July 21, 1893","Afro-American advocate. [volume] (Coffeyville, Kan.), July 21, 1893, Image 4"
"The freeman.","Indianapolis [Ind.]","July 22, 1893","The freeman. [volume] (Indianapolis [Ind.]), July 22, 1893, Image 1"
"The freeman.","Indianapolis [Ind.]","August 12, 1893","The freeman. [volume] (Indianapolis [Ind.]), August 12, 1893, Image 1"
"The gazette.","Cleveland, Ohio","July 22, 1893","The gazette. [volume] (Cleveland, Ohio), July 22, 1893, Page 2, Image 2"
"The gazette.","Cleveland, Ohio","March 18, 1893","The gazette. [volume] (Cleveland, Ohio), March 18, 1893, Image 1"
"The morning news.","Savannah, Ga.","June 05, 1893","The morning news. [volume] (Savannah, Ga.), June 05, 1893, Page 4, Image 4"
"The gazette.","Cleveland, Ohio","July 15, 1893","The gazette. [volume] (Cleveland, Ohio), July 15, 1893, Page 2, Image 2"
"Evening star.","Washington, D.C.","February 01, 1893","Evening star. [volume] (Washington, D.C.), February 01, 1893, Page 10, Image 10"
"The gazette.","Cleveland, Ohio","July 08, 1893","The gazette. [volume] (Cleveland, Ohio), July 08, 1893, Image 1"
"The gazette.","Cleveland, Ohio","June 24, 1893","The gazette. [volume] (Cleveland, Ohio), June 24, 1893, Page 2, Image 2"
"The plaindealer.","Detroit, Mich.","March 17, 1893","The plaindealer. [volume] (Detroit, Mich.), March 17, 1893, Image 4"
"The freeman.","Indianapolis [Ind.]","June 17, 1893","The freeman. [volume] (Indianapolis [Ind.]), June 17, 1893, Image 4"
"The freeman.","Indianapolis [Ind.]","October 21, 1893","The freeman. [volume] (Indianapolis [Ind.]), October 21, 1893, Image 4"
"The Washington bee.","Washington, D.C.","July 15, 1893","The Washington bee. [volume] (Washington, D.C.), July 15, 1893, Image 1"
"The freeman.","Indianapolis [Ind.]","April 01, 1893","The freeman. [volume] (Indianapolis [Ind.]), April 01, 1893, Image 4"
"The gazette.","Cleveland, Ohio","March 11, 1893","The gazette. [volume] (Cleveland, Ohio), March 11, 1893, Page 2, Image 2"
"The gazette.","Cleveland, Ohio","April 29, 1893","The gazette. [volume] (Cleveland, Ohio), April 29, 1893, Page 3, Image 3"
"The gazette.","Cleveland, Ohio","February 11, 1893","The gazette. [volume] (Cleveland, Ohio), February 11, 1893, Page 2, Image 2"
"The gazette.","Cleveland, Ohio","April 01, 1893","The gazette. [volume] (Cleveland, Ohio), April 01, 1893, Page 2, Image 2"
"The gazette.","Cleveland, Ohio","July 08, 1893","The gazette. [volume] (Cleveland, Ohio), July 08, 1893, Page 2, Image 2"
"The gazette.","Cleveland, Ohio","October 21, 1893","The gazette. [volume] (Cleveland, Ohio), October 21, 1893, Page 2, Image 2"
"The Wilmington daily Republican.","Wilmington, Del.","December 06, 1893","The Wilmington daily Republican. (Wilmington, Del.), December 06, 1893, Image 2"
"The gazette.","Cleveland, Ohio","February 11, 1893","The gazette. [volume] (Cleveland, Ohio), February 11, 1893, Image 1"
"The freeman.","Indianapolis [Ind.]","September 08, 1894","The freeman. [volume] (Indianapolis [Ind.]), September 08, 1894, Image 1"
"The daily herald.","Brownsville, Tex.","September 03, 1894","The daily herald. [volume] (Brownsville, Tex.), September 03, 1894, Image 2"
"The freeman.","Indianapolis [Ind.]","July 07, 1894","The freeman. [volume] (Indianapolis [Ind.]), July 07, 1894, Image 6"
"The freeman.","Indianapolis [Ind.]","August 25, 1894","The freeman. [volume] (Indianapolis [Ind.]), August 25, 1894, Image 4"
"The freeman.","Indianapolis [Ind.]","September 08, 1894","The freeman. [volume] (Indianapolis [Ind.]), September 08, 1894, Image 4"
"The freeman.","Indianapolis [Ind.]","October 27, 1894","The freeman. [volume] (Indianapolis [Ind.]), October 27, 1894, Image 2"
"The freeman.","Indianapolis [Ind.]","August 04, 1894","The freeman. [volume] (Indianapolis [Ind.]), August 04, 1894, Image 4"
"The freeman.","Indianapolis [Ind.]","June 30, 1894","The freeman. [volume] (Indianapolis [Ind.]), June 30, 1894, Image 4"
"The freeman.","Indianapolis [Ind.]","May 12, 1894","The freeman. [volume] (Indianapolis [Ind.]), May 12, 1894, Image 2"
"National Baptist world.","Wichita, Kan.","October 12, 1894","National Baptist world. [volume] (Wichita, Kan.), October 12, 1894, Image 1"
"The freeman.","Indianapolis [Ind.]","July 28, 1894","The freeman. [volume] (Indianapolis [Ind.]), July 28, 1894, Image 4"
"The gazette.","Cleveland, Ohio","July 14, 1894","The gazette. [volume] (Cleveland, Ohio), July 14, 1894, Image 1"
"The gazette.","Cleveland, Ohio","August 11, 1894","The gazette. [volume] (Cleveland, Ohio), August 11, 1894, Page 2, Image 2"
"The gazette.","Cleveland, Ohio","June 30, 1894","The gazette. [volume] (Cleveland, Ohio), June 30, 1894, Image 1"
"The colored American.","Washington, D.C.","August 11, 1894","The colored American. [volume] (Washington, D.C.), August 11, 1894, Page 4, Image 4"
"The Durham daily globe.","Durham, N.C.","August 29, 1894","The Durham daily globe. (Durham, N.C.), August 29, 1894, Image 2"
"The freeman.","Indianapolis [Ind.]","July 14, 1894","The freeman. [volume] (Indianapolis [Ind.]), July 14, 1894, Image 6"
"The Hawaiian gazette.","Honolulu [Oahu, Hawaii]","August 21, 1894","The Hawaiian gazette. [volume] (Honolulu [Oahu, Hawaii]), August 21, 1894, Page 6, Image 6"
"The gazette.","Cleveland, Ohio","August 04, 1894","The gazette. [volume] (Cleveland, Ohio), August 04, 1894, Image 1"
"The Pacific commercial advertiser.","Honolulu, Hawaiian Islands","August 18, 1894","The Pacific commercial advertiser. [volume] (Honolulu, Hawaiian Islands), August 18, 1894, Page 2, Image 2"
"Iowa state bystander.","Des Moines, Iowa","November 30, 1894","Iowa state bystander. [volume] (Des Moines, Iowa), November 30, 1894, Image 1"
"The gazette.","Cleveland, Ohio","November 24, 1894","The gazette. [volume] (Cleveland, Ohio), November 24, 1894, Image 1"
"The freeman.","Indianapolis [Ind.]","August 11, 1894","The freeman. [volume] (Indianapolis [Ind.]), August 11, 1894, Image 2"
"The gazette.","Cleveland, Ohio","September 01, 1894","The gazette. [volume] (Cleveland, Ohio), September 01, 1894, Page 2, Image 2"
"The gazette.","Cleveland, Ohio","August 18, 1894","The gazette. [volume] (Cleveland, Ohio), August 18, 1894, Image 1"
"The freeman.","Indianapolis [Ind.]","October 13, 1894","The freeman. [volume] (Indianapolis [Ind.]), October 13, 1894, Image 6"
"Richmond planet.","Richmond, Va.","July 28, 1894","Richmond planet. [volume] (Richmond, Va.), July 28, 1894, Image 2"
"The daily herald.","Brownsville, Tex.","August 02, 1894","The daily herald. [volume] (Brownsville, Tex.), August 02, 1894, Image 2"
"Huntsville gazette.","Huntsville, Ala.","September 15, 1894","Huntsville gazette. [volume] (Huntsville, Ala.), September 15, 1894, Image 2"
"The freeman.","Indianapolis [Ind.]","August 11, 1894","The freeman. [volume] (Indianapolis [Ind.]), August 11, 1894, Image 1"
"The gazette.","Cleveland, Ohio","November 24, 1894","The gazette. [volume] (Cleveland, Ohio), November 24, 1894, Page 2, Image 2"
"Iowa state bystander.","Des Moines, Iowa","September 21, 1894","Iowa state bystander. [volume] (Des Moines, Iowa), September 21, 1894, Image 1"
"The gazette.","Cleveland, Ohio","August 18, 1894","The gazette. [volume] (Cleveland, Ohio), August 18, 1894, Page 2, Image 2"
"The freeman.","Indianapolis [Ind.]","July 21, 1894","The freeman. [volume] (Indianapolis [Ind.]), July 21, 1894, Image 5"
"The freeman.","Indianapolis [Ind.]","September 15, 1894","The freeman. [volume] (Indianapolis [Ind.]), September 15, 1894, Image 8"
"The freeman.","Indianapolis [Ind.]","June 23, 1894","The freeman. [volume] (Indianapolis [Ind.]), June 23, 1894, Image 2"
"The freeman.","Indianapolis [Ind.]","November 03, 1894","The freeman. [volume] (Indianapolis [Ind.]), November 03, 1894, Image 5"
"The gazette.","Cleveland, Ohio","December 15, 1894","The gazette. [volume] (Cleveland, Ohio), December 15, 1894, Image 1"
"The gazette.","Cleveland, Ohio","June 30, 1894","The gazette. [volume] (Cleveland, Ohio), June 30, 1894, Page 2, Image 2"
"The gazette.","Cleveland, Ohio","December 08, 1894","The gazette. [volume] (Cleveland, Ohio), December 08, 1894, Image 1"
"The Indianapolis journal.","Indianapolis [Ind.]","September 08, 1894","The Indianapolis journal. [volume] (Indianapolis [Ind.]), September 08, 1894, Page 8, Image 8"
"National Baptist world.","Wichita, Kan.","September 28, 1894","National Baptist world. [volume] (Wichita, Kan.), September 28, 1894, Image 4"
"The Washington bee.","Washington, D.C.","September 22, 1894","The Washington bee. [volume] (Washington, D.C.), September 22, 1894, Image 1"
"The freeman.","Indianapolis [Ind.]","September 22, 1894","The freeman. [volume] (Indianapolis [Ind.]), September 22, 1894, Image 1"
"The freeman.","Indianapolis [Ind.]","June 16, 1894","The freeman. [volume] (Indianapolis [Ind.]), June 16, 1894, Image 6"
"The freeman.","Indianapolis [Ind.]","July 21, 1894","The freeman. [volume] (Indianapolis [Ind.]), July 21, 1894, Image 6"
"The freeman.","Indianapolis [Ind.]","October 06, 1894","The freeman. [volume] (Indianapolis [Ind.]), October 06, 1894, Image 8"
"The gazette.","Cleveland, Ohio","June 16, 1894","The gazette. [volume] (Cleveland, Ohio), June 16, 1894, Page 2, Image 2"
"The gazette.","Cleveland, Ohio","December 01, 1894","The gazette. [volume] (Cleveland, Ohio), December 01, 1894, Page 3, Image 3"
"St. Paul daily globe.","Saint Paul, Minn.","July 30, 1894","St. Paul daily globe. [volume] (Saint Paul, Minn.), July 30, 1894, Page 2, Image 2"
"Evening star.","Washington, D.C.","April 30, 1894","Evening star. [volume] (Washington, D.C.), April 30, 1894, Page 4, Image 4"
"Richmond planet.","Richmond, Va.","August 25, 1894","Richmond planet. [volume] (Richmond, Va.), August 25, 1894, Image 2"
"The freeman.","Indianapolis [Ind.]","October 20, 1894","The freeman. [volume] (Indianapolis [Ind.]), October 20, 1894, Image 4"
"The freeman.","Indianapolis [Ind.]","September 22, 1894","The freeman. [volume] (Indianapolis [Ind.]), September 22, 1894, Image 6"
"The gazette.","Cleveland, Ohio","July 14, 1894","The gazette. [volume] (Cleveland, Ohio), July 14, 1894, Page 2, Image 2"
"The gazette.","Cleveland, Ohio","September 29, 1894","The gazette. [volume] (Cleveland, Ohio), September 29, 1894, Page 2, Image 2"
"Shiner gazette.","Shiner, Tex.","August 02, 1894","Shiner gazette. [volume] (Shiner, Tex.), August 02, 1894, Image 4"
"The gazette.","Cleveland, Ohio","August 04, 1894","The gazette. [volume] (Cleveland, Ohio), August 04, 1894, Page 2, Image 2"
"The gazette.","Cleveland, Ohio","November 17, 1894","The gazette. [volume] (Cleveland, Ohio), November 17, 1894, Page 2, Image 2"
"The gazette.","Cleveland, Ohio","October 27, 1894","The gazette. [volume] (Cleveland, Ohio), October 27, 1894, Image 1"
"The gazette.","Cleveland, Ohio","October 20, 1894","The gazette. [volume] (Cleveland, Ohio), October 20, 1894, Page 3, Image 3"
"The freeman.","Indianapolis [Ind.]","December 22, 1894","The freeman. [volume] (Indianapolis [Ind.]), December 22, 1894, Image 3"
"The gazette.","Cleveland, Ohio","October 27, 1894","The gazette. [volume] (Cleveland, Ohio), October 27, 1894, Page 3, Image 3"
"The gazette.","Cleveland, Ohio","July 07, 1894","The gazette. [volume] (Cleveland, Ohio), July 07, 1894, Page 2, Image 2"
"The gazette.","Cleveland, Ohio","July 28, 1894","The gazette. [volume] (Cleveland, Ohio), July 28, 1894, Page 2, Image 2"
"The gazette.","Cleveland, Ohio","June 09, 1894","The gazette. [volume] (Cleveland, Ohio), June 09, 1894, Page 2, Image 2"
"The Newberry herald and news.","Newberry, S.C.","June 06, 1894","The Newberry herald and news. (Newberry, S.C.), June 06, 1894, Image 1"
"The freeman.","Indianapolis [Ind.]","November 17, 1894","The freeman. [volume] (Indianapolis [Ind.]), November 17, 1894, Image 4"
"The freeman.","Indianapolis [Ind.]","August 25, 1894","The freeman. [volume] (Indianapolis [Ind.]), August 25, 1894, Image 7"
"The sea coast echo.","Bay Saint Louis, Miss.","August 04, 1894","The sea coast echo. [volume] (Bay Saint Louis, Miss.), August 04, 1894, Image 1"
"The Topeka state journal.","Topeka, Kansas","September 26, 1894","The Topeka state journal. [volume] (Topeka, Kansas), September 26, 1894, NIGHT EDITION, Page 4, Image 4"
"The freeman.","Indianapolis [Ind.]","June 16, 1894","The freeman. [volume] (Indianapolis [Ind.]), June 16, 1894, Image 4"
"The sun.","New York [N.Y.]","July 30, 1894","The sun. [volume] (New York [N.Y.]), July 30, 1894, Page 2, Image 2"
"The evening bulletin.","Maysville, Ky.","September 11, 1894","The evening bulletin. [volume] (Maysville, Ky.), September 11, 1894, Image 1"
"The freeman.","Indianapolis [Ind.]","July 07, 1894","The freeman. [volume] (Indianapolis [Ind.]), July 07, 1894, Image 4"
"The Washington bee.","Washington, D.C.","October 27, 1894","The Washington bee. [volume] (Washington, D.C.), October 27, 1894, Image 2"
"The Providence news.","Providence [R.I.]","October 31, 1894","The Providence news. (Providence [R.I.]), October 31, 1894, Image 8"
"The freeman.","Indianapolis [Ind.]","December 15, 1894","The freeman. [volume] (Indianapolis [Ind.]), December 15, 1894, Image 3"
"The Kansas blackman.","Topeka, Kan.","May 04, 1894","The Kansas blackman. [volume] (Topeka, Kan.), May 04, 1894, Image 1"
"The freeman.","Indianapolis [Ind.]","November 03, 1894","The freeman. [volume] (Indianapolis [Ind.]), November 03, 1894, Image 8"
"Iowa state bystander.","Des Moines, Iowa","July 06, 1894","Iowa state bystander. [volume] (Des Moines, Iowa), July 06, 1894, Image 1"
"The freeman.","Indianapolis [Ind.]","April 28, 1894","The freeman. [volume] (Indianapolis [Ind.]), April 28, 1894, Image 7"
"The freeman.","Indianapolis [Ind.]","September 01, 1894","The freeman. [volume] (Indianapolis [Ind.]), September 01, 1894, Image 5"
"The freeman.","Indianapolis [Ind.]","August 04, 1894","The freeman. [volume] (Indianapolis [Ind.]), August 04, 1894, Image 6"
"The freeman.","Indianapolis [Ind.]","May 05, 1894","The freeman. [volume] (Indianapolis [Ind.]), May 05, 1894, Image 6"
"The freeman.","Indianapolis [Ind.]","October 20, 1894","The freeman. [volume] (Indianapolis [Ind.]), October 20, 1894, Image 6"
"The Indianapolis journal.","Indianapolis [Ind.]","September 28, 1894","The Indianapolis journal. [volume] (Indianapolis [Ind.]), September 28, 1894, Page 8, Image 8"
"The gazette.","Cleveland, Ohio","October 20, 1894","The gazette. [volume] (Cleveland, Ohio), October 20, 1894, Page 2, Image 2"
"Richmond planet.","Richmond, Va.","August 04, 1894","Richmond planet. [volume] (Richmond, Va.), August 04, 1894, Image 2"
"The gazette.","Cleveland, Ohio","December 29, 1894","The gazette. [volume] (Cleveland, Ohio), December 29, 1894, Page 2, Image 2"
"The record-union.","Sacramento, Calif.","September 04, 1894","The record-union. [volume] (Sacramento, Calif.), September 04, 1894, Page 2, Image 2"
"The gazette.","Cleveland, Ohio","December 08, 1894","The gazette. [volume] (Cleveland, Ohio), December 08, 1894, Page 2, Image 2"
"The Newberry herald and news.","Newberry, S.C.","August 08, 1894","The Newberry herald and news. (Newberry, S.C.), August 08, 1894, Image 1"
"The gazette.","Cleveland, Ohio","September 08, 1894","The gazette. [volume] (Cleveland, Ohio), September 08, 1894, Page 2, Image 2"
"Richmond planet.","Richmond, Va.","June 09, 1894","Richmond planet. [volume] (Richmond, Va.), June 09, 1894, Image 2"
"Iowa state bystander.","Des Moines, Iowa","October 26, 1894","Iowa state bystander. [volume] (Des Moines, Iowa), October 26, 1894, Image 1"
"The herald.","Los Angeles [Calif.]","September 16, 1894","The herald. [microfilm reel] (Los Angeles [Calif.]), September 16, 1894, Page 4, Image 4"
"The freeman.","Indianapolis [Ind.]","August 11, 1894","The freeman. [volume] (Indianapolis [Ind.]), August 11, 1894, Image 3"
"The freeman.","Indianapolis [Ind.]","October 20, 1894","The freeman. [volume] (Indianapolis [Ind.]), October 20, 1894, Image 2"
"Bismarck weekly tribune.","Bismarck, Dakota [N.D.]","October 19, 1894","Bismarck weekly tribune. [volume] (Bismarck, Dakota [N.D.]), October 19, 1894, Image 2"
"The American citizen.","Topeka, Kan.","August 24, 1894","The American citizen. [volume] (Topeka, Kan.), August 24, 1894, Image 1"
"The Salt Lake herald.","Salt Lake City [Utah]","August 02, 1894","The Salt Lake herald. [volume] (Salt Lake City [Utah]), August 02, 1894, Page 4, Image 4"
"Audubon Republican.","Audubon, Iowa","September 20, 1894","Audubon Republican. [volume] (Audubon, Iowa), September 20, 1894, Image 6"
"The freeman.","Indianapolis [Ind.]","September 01, 1894","The freeman. [volume] (Indianapolis [Ind.]), September 01, 1894, Image 8"
"Highland recorder.","Monterey, Highland County, Va.","August 10, 1894","Highland recorder. (Monterey, Highland County, Va.), August 10, 1894, Image 2"
"The evening bulletin.","Maysville, Ky.","August 04, 1894","The evening bulletin. [volume] (Maysville, Ky.), August 04, 1894, Image 4"
"The Beatrice daily express.","Beatrice, Neb.","October 16, 1894","The Beatrice daily express. [volume] (Beatrice, Neb.), October 16, 1894, Image 3"
"The freeman.","Indianapolis [Ind.]","December 22, 1894","The freeman. [volume] (Indianapolis [Ind.]), December 22, 1894, Image 2"
"The Indianapolis journal.","Indianapolis [Ind.]","September 11, 1894","The Indianapolis journal. [volume] (Indianapolis [Ind.]), September 11, 1894, Page 8, Image 8"
"The Appeal.","Saint Paul, Minn. ;","September 29, 1894","The Appeal. [volume] (Saint Paul, Minn. ;), September 29, 1894, Image 2"
"The freeman.","Indianapolis [Ind.]","March 17, 1894","The freeman. [volume] (Indianapolis [Ind.]), March 17, 1894, Image 6"
"The freeman.","Indianapolis [Ind.]","August 25, 1894","The freeman. [volume] (Indianapolis [Ind.]), August 25, 1894, Image 6"
"The freeman.","Indianapolis [Ind.]","August 25, 1894","The freeman. [volume] (Indianapolis [Ind.]), August 25, 1894, Image 8"
"The freeman.","Indianapolis [Ind.]","September 29, 1894","The freeman. [volume] (Indianapolis [Ind.]), September 29, 1894, Image 7"
"The freeman.","Indianapolis [Ind.]","September 08, 1894","The freeman. [volume] (Indianapolis [Ind.]), September 08, 1894, Image 2"
"The freeman.","Indianapolis [Ind.]","September 15, 1894","The freeman. [volume] (Indianapolis [Ind.]), September 15, 1894, Image 7"
