"","file_id2","newspaper_name","date","year","month","day","page","edition","mod_id","url","newspaper_state","filename","filepath","file_id","article_id","sn","Collection"
"1","8500_0","The Omaha guide (Omaha, Neb.)",1944-03-18,1944,3,18,"seq-4","ed-1",1,"https://articleextractor.org/pages/8500/nbu_fourtusker_ver01/sn93062828/3/18/ed-1/seq-4/1","Nebraska","8500_0.txt","~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/8500_0.txt",8500,0,"sn93062828","LOC"
"2","8500_1","The Omaha guide (Omaha, Neb.)",1944-03-18,1944,3,18,"seq-4","ed-1",1,"https://articleextractor.org/pages/8500/nbu_fourtusker_ver01/sn93062828/3/18/ed-1/seq-4/1","Nebraska","8500_1.txt","~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/8500_1.txt",8500,1,"sn93062828","LOC"
"3","8575_0","The Omaha guide (Omaha, Neb.)",1935-01-26,1935,1,26,"seq-3","ed-1",1,"https://articleextractor.org/pages/8575/nbu_fourtusker_ver01/sn93062828/1/26/ed-1/seq-3/1","Nebraska","8575_0.txt","~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/8575_0.txt",8575,0,"sn93062828","LOC"
"4","8575_1","The Omaha guide (Omaha, Neb.)",1935-01-26,1935,1,26,"seq-3","ed-1",1,"https://articleextractor.org/pages/8575/nbu_fourtusker_ver01/sn93062828/1/26/ed-1/seq-3/1","Nebraska","8575_1.txt","~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/8575_1.txt",8575,1,"sn93062828","LOC"
"5","8617_0","The Omaha guide (Omaha, Neb.)",1941-05-31,1941,5,31,"seq-1","ed-1",1,"https://articleextractor.org/pages/8617/nbu_fourtusker_ver01/sn93062828/5/31/ed-1/seq-1/1","Nebraska","8617_0.txt","~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/8617_0.txt",8617,0,"sn93062828","LOC"
"6","8653_0","The statesman (Denver, Colo.)",1906-04-20,1906,4,20,"seq-8","ed-1",1,"https://articleextractor.org/pages/8653/cohi_abbeyville_ver01/sn83025516/4/20/ed-1/seq-8/1","Colorado","8653_0.txt","~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/8653_0.txt",8653,0,"sn83025516","LOC"
"7","8669_0","The Washington bee (Washington, D.C...)",1892-07-09,1892,7,9,"seq-2","ed-1",1,"https://articleextractor.org/pages/8669/dlc_harry_ver01/sn84025891/7/9/ed-1/seq-2/1","District of Columbia","8669_0.txt","~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/8669_0.txt",8669,0,"sn84025891","LOC"
"8","8669_1","The Washington bee (Washington, D.C...)",1892-07-09,1892,7,9,"seq-2","ed-1",1,"https://articleextractor.org/pages/8669/dlc_harry_ver01/sn84025891/7/9/ed-1/seq-2/1","District of Columbia","8669_1.txt","~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/8669_1.txt",8669,1,"sn84025891","LOC"
"9","8669_2","The Washington bee (Washington, D.C...)",1892-07-09,1892,7,9,"seq-2","ed-1",1,"https://articleextractor.org/pages/8669/dlc_harry_ver01/sn84025891/7/9/ed-1/seq-2/1","District of Columbia","8669_2.txt","~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/8669_2.txt",8669,2,"sn84025891","LOC"
"10","8669_3","The Washington bee (Washington, D.C...)",1892-07-09,1892,7,9,"seq-2","ed-1",1,"https://articleextractor.org/pages/8669/dlc_harry_ver01/sn84025891/7/9/ed-1/seq-2/1","District of Columbia","8669_3.txt","~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/8669_3.txt",8669,3,"sn84025891","LOC"
