,file_id,article_id,filepath,sn,newspaper_name,year,month,day,page,edition,mod_id,URL,newspaper_state,text_file_name,extraction_succeeded
0,8062,0,ct_ash_ver01/sn84020358/1898/01/29/ed-1/seq-4,sn84020358,"The daily morning journal and courier (New Haven, Conn...)",1898,1,29,seq-4,ed-1,1,https://articleextractor.org/pages/8062/ct_ash_ver01/sn84020358/1898/1/29/ed-1/seq-4/1,Connecticut,8062_0.txt,True
1,8065,0,khi_dole_ver01/sn83040340/1889/03/22/ed-1/seq-7,sn83040340,"The Iola register (Iola, Allen Cou...)",1889,3,22,seq-7,ed-1,1,https://articleextractor.org/pages/8065/khi_dole_ver01/sn83040340/1889/3/22/ed-1/seq-7/1,Kansas,8065_0.txt,True
2,8083,1,lu_sands_ver01/sn83016527/1838/08/25/ed-1/seq-2,sn83016527,True American (New Orleans [La...),1838,8,25,seq-2,ed-1,1,https://articleextractor.org/pages/8083/lu_sands_ver01/sn83016527/1838/8/25/ed-1/seq-2/1,Louisiana,8083_1.txt,True
3,8089,0,au_huie_ver01/sn85038485/1912/05/07/ed-1/seq-8,sn85038485,"The Birmingham age-herald (Birmingham, Ala...)",1912,5,7,seq-8,ed-1,1,https://articleextractor.org/pages/8089/au_huie_ver01/sn85038485/1912/5/7/ed-1/seq-8/1,Alabama,8089_0.txt,True
4,8097,0,deu_arden_ver01/sn85042354/1890/04/24/ed-1/seq-4,sn85042354,"Evening journal (Wilmington, Del...)",1890,4,24,seq-4,ed-1,1,https://articleextractor.org/pages/8097/deu_arden_ver01/sn85042354/1890/4/24/ed-1/seq-4/1,Delaware,8097_0.txt,True
5,8100,0,mnhi_fencing_ver02/sn83016589/1889/05/31/ed-1/seq-1,sn83016589,"The Mankato free press (Mankato, Blue E...)",1889,5,31,seq-1,ed-1,1,https://articleextractor.org/pages/8100/mnhi_fencing_ver02/sn83016589/1889/5/31/ed-1/seq-1/1,Minnesota,8100_0.txt,False
6,8116,0,mdu_belair_ver01/sn89060136/1899/04/28/ed-1/seq-2,sn89060136,,1899,4,28,seq-2,ed-1,1,https://articleextractor.org/pages/8116/mdu_belair_ver01/sn89060136/1899/4/28/ed-1/seq-2/1,Maryland,8116_0.txt,True
7,8127,0,deu_edgemoor_ver01/sn85042354/1912/06/25/ed-1/seq-7,sn85042354,"Evening journal (Wilmington, Del...)",1912,6,25,seq-7,ed-1,1,https://articleextractor.org/pages/8127/deu_edgemoor_ver01/sn85042354/1912/6/25/ed-1/seq-7/1,Delaware,8127_0.txt,True
8,8129,0,mdu_frederick_ver03/sn89060092/1896/02/07/ed-1/seq-6,sn89060092,,1896,2,7,seq-6,ed-1,1,https://articleextractor.org/pages/8129/mdu_frederick_ver03/sn89060092/1896/2/7/ed-1/seq-6/1,Maryland,8129_0.txt,True
9,8137,0,whi_knarl_ver02/sn85040245/1913/03/07/ed-1/seq-6,sn85040245,"Ladysmith news-budget (Ladysmith, Rusk...)",1913,3,7,seq-6,ed-1,1,https://articleextractor.org/pages/8137/whi_knarl_ver02/sn85040245/1913/3/7/ed-1/seq-6/1,Wisconsin,8137_0.txt,True
10,8142,0,mimtptc_jonesville_ver01/sn96077142/1896/03/07/ed-1/seq-2,sn96077142,,1896,3,7,seq-2,ed-1,1,https://articleextractor.org/pages/8142/mimtptc_jonesville_ver01/sn96077142/1896/3/7/ed-1/seq-2/1,Michigan,8142_0.txt,True
11,8144,0,wvu_isner_ver01/sn86092518/1896/01/14/ed-1/seq-1,sn86092518,"Wheeling register (Wheeling, W. Va...)",1896,1,14,seq-1,ed-1,1,https://articleextractor.org/pages/8144/wvu_isner_ver01/sn86092518/1896/1/14/ed-1/seq-1/1,West Virginia,8144_0.txt,True
12,8145,0,mnhi_dodgeball_ver01/sn83016804/1938/11/04/ed-1/seq-2,sn83016804,"St. Paul recorder (St. Paul, Minn.)",1938,11,4,seq-2,ed-1,1,https://articleextractor.org/pages/8145/mnhi_dodgeball_ver01/sn83016804/1938/11/4/ed-1/seq-2/1,Minnesota,8145_0.txt,True
13,8149,0,uuml_five_ver01/sn85058130/1908/01/03/ed-1/seq-2,sn85058130,The Salt Lake herald (Salt Lake City ...),1908,1,3,seq-2,ed-1,1,https://articleextractor.org/pages/8149/uuml_five_ver01/sn85058130/1908/1/3/ed-1/seq-2/1,Utah,8149_0.txt,True
