value,filename
Mayor Addresses Mob.,18659_2.txt
Mayor Smith had gone to the,18659_2.txt
courthouse for a consultation with,18659_2.txt
Sheriff Clark and as he emerged.,18659_2.txt
met the mob. The mayor began to,18659_2.txt
make an address in favor of law and,18659_2.txt
crder when some persons in the,18659_2.txt
"crowd yelled"" Lynch him!"" A rope",18659_2.txt
was thrown around his neck and,18659_2.txt
with half dozen,18659_2.txt
a husky the,18659_2.txt
men at,18659_2.txt
"end, he was dragged a half block",18659_2.txt
and stood under a telephone pole,18659_2.txt
The end of the rope was thrown over,18659_2.txt
the cross- arm of the pole and the,18659_2.txt
mayor was suspended above the,18659_2.txt
ground. As the rope was drawn,18659_2.txt
up two policemen cut it. The mayor,18659_2.txt
was suspended from the pole a second,18659_2.txt
"ime, when a well- dressed man",18659_2.txt
cut him down again. They then,18659_2.txt
managed to rush the unconscious,18659_2.txt
form of Mayor Smith into a,18659_2.txt
( Continued on Page Three police.),18659_2.txt
- ing.,18661_0.txt
Latest reports of the rioting,18661_0.txt
estimate the number of injured,18661_0.txt
all the way from 45 to 60. Only,18661_0.txt
"two persons were killed, however,",18661_0.txt
"These were William Brown, negro,",18661_0.txt
. who was taken from the county,18661_0.txt
"jail and lynehed, and a white man",18661_0.txt
"believed to be Clarence Clancy, 23",18661_0.txt
"of Omaha.,",18661_0.txt
Mayor Smith Improves.,18661_1.txt
The condition shortly before noom,18661_1.txt
"today of mayor Ed. P. Smith, whom",18661_1.txt
members of the mob attempted to,18661_1.txt
"lynch, was reported by his physiclan,",18661_1.txt
"Dr. E. C. Henry, to be somewhat improved",18661_1.txt
". Mayor Smith, who suffered",18661_1.txt
"a bad wound over his right eye, a",18661_1.txt
fractured nose and a wound about the,18661_1.txt
"neck, when members of the mob",18661_1.txt
placed a rope about him and hanged,18661_1.txt
"him to a traffic signal tower, regained",18661_1.txt
consciousness early today at,18661_1.txt
hospital to which he had been,18661_1.txt
; the taken.,18661_1.txt
""" Lynch and mob violence have be",18661_2.txt
come a national problem. Disregard,18661_2.txt
of the law will inevitably lead to more,18661_2.txt
clashes and bloody,18661_2.txt
frequent en,18661_2.txt
white men and,18661_2.txt
counters between,18661_2.txt
and a condition of potential,18661_2.txt
"negroes race war in many cities.""",18661_2.txt
committee a statement from the National,18661_2.txt
Association for Advancement of,18661_2.txt
that 43,18661_2.txt
"Colored People, declaring",18661_2.txt
negroes and four white men had been,18661_2.txt
lynched and eight negroes burned to,18661_2.txt
"death this year, up to September 14.",18661_2.txt
"and that from 1889 to 1918, 2522",18661_2.txt
negroes and 702 whites were victims,18661_2.txt
"of lynch law, with less than 24 per",18661_2.txt
cent of the negroes charged with at,18661_2.txt
tacks on women.,18661_2.txt
""" The states have proved themselves",18661_2.txt
"unable or unwilling stop lynching.""",18661_2.txt
"the statement declared to,",18661_2.txt
"Collinsville, Okla., April 20.- A",18662_0.txt
counter part of the recent lynching,18662_0.txt
"of Robert P. Prager in Collinsville, Ill,",18662_0.txt
was checked here tonight when Chas.,18662_0.txt
"Miller, assistant chief of police, was",18662_0.txt
able to convince a crowd of fifty men,18662_0.txt
that it would be better to give Henry,18662_0.txt
"Rheimer, alleged pro- German, whom",18662_0.txt
"they had hanged, a chance before the",18662_0.txt
council of defense tomorrow morning,18662_0.txt
rather than to take his life without,18662_0.txt
unprejudiced hearing. Rheimer was,18662_0.txt
in a semi- conscious condition when,18662_0.txt
"cut down, but will recover, it",18662_0.txt
thought. is,18662_0.txt
GEORGIA TIES LOUISIANA,18663_0.txt
NE can well imagine what glee,18663_0.txt
ONE fills the breast of the kaiser as he,18663_0.txt
reads of America's blood- red record of,18663_0.txt
Negro lynchings. Four more Colored,18663_0.txt
"Americans, three men and one wo",18663_0.txt
"man, accused of the murder of a white",18663_0.txt
"farmer, were murdered by a Georgia",18663_0.txt
mob this week. Georgia now,18663_0.txt
Louisiana in this gruesome Southern,18663_0.txt
"sport, both states scoring eleven victims",18663_0.txt
within the past fourteen months.,18663_0.txt
This makes a total of fifty lynchings,18663_0.txt
within the confines of the United,18663_0.txt
States since America's entrance into,18663_0.txt
"the war"" to make the world safe for",18663_0.txt
democracy. What an appalling rec,18663_0.txt
"crd!""",18663_0.txt
"The lynching of the German, Rob",18663_1.txt
"ert Praeger, in Illinois, prompts his",18663_1.txt
observations.,18663_1.txt
He urges lawyers everywhere to,18663_1.txt
stand out firmly against lynch law by,18663_1.txt
volunteering their services as prosecuting,18663_1.txt
"attorneys, where needed.",18663_1.txt
He points out the danger of reprisals,18663_1.txt
by Germany if German citi,18663_1.txt
are subjected to abuse at the,18663_1.txt
hands zens of mobs.,18663_1.txt
Mr. Gregory is perfectly right in,18663_2.txt
pointing out the cowardliness of lynch,18663_2.txt
"law as well as the danger, when Ger",18663_2.txt
mans are involved.,18663_2.txt
But why is not just as objection,18663_2.txt
able to lynch it American Negroes?,18663_2.txt
which they live.,18663_3.txt
And the Post wouid rivet the atten.,18663_3.txt
tion of the attorney general upon the,18663_3.txt
fact that the mobbing of 100 German,18663_3.txt
spies would not give the lie to the,18663_3.txt
"Declaration of Independence, the constitution",18663_3.txt
