value,filename
LYNCHING,88768_0.txt
"LEXINGTON, Ky., Feb. 9- Four persons",88768_0.txt
were killed and several injured,88768_0.txt
"when a mob, intent on lynching Will-",88768_0.txt
"iam Lockett, a negro, slayer of a 10-",88768_0.txt
"year- old girl, today charged the courthouse",88768_0.txt
during his trial.,88768_0.txt
As the mob approached the courthouse,88768_0.txt
the police and state troops,88768_0.txt
opened fire. It is reported that five,88768_0.txt
women were shot and wounded.,88768_0.txt
During the shooting authorities slipped,88768_0.txt
away with the negro. Great excitement,88768_0.txt
prevails and there are,88768_0.txt
ings of further trouble. mutter,88768_0.txt
was rebuilt far finer than ever before.,88769_0.txt
"When Joseph Libenyi, his would- be assassin, in 1853, wounded the Emperor",88769_0.txt
"seriously by a knife thrust between the shoulders, the wounded monarch",88769_0.txt
the wretch:,88769_0.txt
""" Do",88769_0.txt
the mob that was on the point of lynching,88769_0.txt
"not cried hurt out him to; he has been badly mauled already!"" It was his aid- de- camp,",88769_0.txt
"Count O'Donnell, who saved Francis Joseph from death on that occasion.",88769_0.txt
"One day, driving to his castle of Schoenbrunn the Emperor found a fire-",88769_0.txt
"engine, which had been on the way to a big conflagration, stuck in the mire",88769_0.txt
of the road. He instantly caused his carriage horses to be unharnessed in,88769_0.txt
"order help pull the engine out of the mud, while he himself hailed a passing",88769_0.txt
hack to to take him to his destination.,88769_0.txt
local option plank presented by Bryan.,88771_0.txt
ITALIANS,88771_0.txt
PROMINENT LYNCHED IN SOUTH,88771_0.txt
Florida Mob Hangs Four Men and,88771_0.txt
New Orleans Lynching,88771_0.txt
the Trouble Is Recalled.,88771_0.txt
"TAMPA, Florida, September 21.-",88771_0.txt
"Gastenge, Ficarotta, Angelo and Alba-",88771_0.txt
"no, four prominent Italians of this city,",88771_0.txt
who have been conspicuous during the,88771_0.txt
"strike of the eigarmakers, were yesterday",88771_0.txt
taken from the charge of deputy,88771_0.txt
sheriffs and lynebed. It was charged,88771_0.txt
against them that they had been accessories,88771_0.txt
"to the recent shooting, in which",88771_0.txt
"a number of the strikers were wounded,",88771_0.txt
The lynching of these men has recalled,88771_0.txt
the trouble that followed the,88771_0.txt
lynching of a number of Italians in,88771_0.txt
"New Orleans some years ago, for which",88771_0.txt
Italy demanded reparation and over,88771_0.txt
which incident the relations between,88771_0.txt
two countries were strained almost,88771_0.txt
the to the point of war.,88771_0.txt
Negro Murderers Lynched,88772_0.txt
[ Associated Press Special Cable.],88772_0.txt
"NEWTON, Ga., June 26.- Three negro murderers were taken from",88772_0.txt
today by a mob and lynched. jail,88772_0.txt
NINE NEGROES LYNCHED,88773_0.txt
"HOUSTON, Tex., June 22.- Nine",88773_0.txt
negroes have been lynched here by,88773_0.txt
a mob. They were accused of,88773_0.txt
murderers. being,88773_0.txt
Cairo. Is Under,88775_0.txt
Military Law,88775_0.txt
"CAIRO, Ill., Nov. 12. Martial",88775_0.txt
law has been enforced in the city,88775_0.txt
"and quiet prevails, although the",88775_0.txt
community is still at high tension.,88775_0.txt
