value,filename
In the way of lynch law the,8116_0.txt
burning at the stake of the negro,8116_0.txt
murderer in Georgia exceeds any,8116_0.txt
thing mob law has produced and is,8116_0.txt
a repetition of the Indian cruelties,8116_0.txt
found only in the history of our,8116_0.txt
pioneer settlers.,8116_0.txt
The negro was captured after a,8116_0.txt
"two weeks' search, and the news",8116_0.txt
brought 2500 people to the little,8116_0.txt
"town of Newnan, Ga. The negro",8116_0.txt
was bound to a tree with trace,8116_0.txt
chains and then the Indian savagery,8116_0.txt
in torturing their victim commenced,8116_0.txt
". His ears were cut off, his",8116_0.txt
"fingers severed from his hands, one",8116_0.txt
"by one, and the flesh cut in slices",8116_0.txt
"after he had been roasted alive,",8116_0.txt
the crazy mob struggling for a piece,8116_0.txt
to preserve as a relic of the savage,8116_0.txt
orgie.,8116_0.txt
When the negro's ears and fingers,8116_0.txt
had been cut off coal oil was poured,8116_0.txt
over his body and the brush and,8116_0.txt
fence rails which had been piled,8116_0.txt
"around his feet, and a match applied",8116_0.txt
. Twenty- five hundred people,8116_0.txt
", in carriages, on horseback and",8116_0.txt
"afoot, composed of men, women and",8116_0.txt
"children, blocked the roads on all",8116_0.txt
sides to witness the horrible spectacle,8116_0.txt
. The punishment and the,8116_0.txt
negro's crime match each other in,8116_0.txt
horror.,8116_0.txt
A negro preacher who was accused,8116_0.txt
by the burned negro of hiring,8116_0.txt
"him to murder the farmer, was",8116_0.txt
"caught and hanged the next night,",8116_0.txt
but there wasn't a particle of evidence,8116_0.txt
that he had anything to do,8116_0.txt
"with instigating the murder, except",8116_0.txt
the story told by the negro who,8116_0.txt
was tortured and burned at the,8116_0.txt
"stake, and it was believed by the",8116_0.txt
best citizens that the preacher,8116_0.txt
entirely innocent. was,8116_0.txt
MOB LYNCHES,8127_0.txt
NEGRO WOMAN WHO,8127_0.txt
MURDERS MISTRESS,8127_0.txt
By The United Press.,8127_0.txt
"PINEHURST, GA., June 25- A",8127_0.txt
"mob took Ann Boston, a negro cook,",8127_0.txt
from county officials who were guarding,8127_0.txt
her and had the woman from,8127_0.txt
a tree today. The Boston woman was,8127_0.txt
"accused of the murder of her mistress,",8127_0.txt
"Mrs. R. F. Jordan, wife of a wealthy",8127_0.txt
"planter, who was found in her home",8127_0.txt
slashed death soon after she had,8127_0.txt
reprimanded to the cook.,8127_0.txt
Chas. Bowlus was appointed bailiff,8129_0.txt
to the grand jury and Wm. R. Harp,8129_0.txt
"pailift to the petit jury, Judge Lynch",8129_0.txt
",",8129_0.txt
"elivered the charge to the grand jury,",8129_0.txt
of which he called their attention to,8129_0.txt
the violation of the law providing that,8129_0.txt
oors to public buildings shall open,8129_0.txt
"utwardly, and to the lynching of",8129_0.txt
"ames Bowens, colored, in this city, in",8129_0.txt
"November last, instructing them to",8129_0.txt
the nvestigate the case.,8129_0.txt
MOB HANGS TWO NEGROES,8137_0.txt
Lynches Tramps Accused of Killing,8137_0.txt
a Policeman.,8137_0.txt
"Cornelia, Ga., March 2.- Two unidentified",8137_0.txt
"negro tramps, charged with",8137_0.txt
"killing Policeman John Gibby, were",8137_0.txt
taken from a posse and lynched near,8137_0.txt
here by a mob of masked men. They,8137_0.txt
were hanged to a telegraph pole.,8137_0.txt
The tramps came into Cornelia on,8137_0.txt
a freight train and were arrested by,8137_0.txt
the policeman. As Gibby was handcuffing,8137_0.txt
one of them the other,8137_0.txt
snatched the officer's pistol and,8137_0.txt
Gibby twice. shot,8137_0.txt
Melville Kennedy( colored) was,8142_0.txt
"lynched by a mob at Windsor, S. C.,",8142_0.txt
alleged assault on a young woman. for,8142_0.txt
DIED FIGHTING.,8144_0.txt
A Desperate Negro's Rifle Was Still,8144_0.txt
Cracking When the Blazing,8144_0.txt
Fell In Upon Him. Roof,8144_0.txt
"Newmansville, Fla., January 13.-",8144_0.txt
"Chased by a posse, Harry Jordan, a negro",8144_0.txt
"desperado, wanted for murderously",8144_0.txt
"assaulting Dr. J. N. Cloud, took refuge",8144_0.txt
in an unoccupied house near Alaichu,8144_0.txt
yesterday afternoon. The negro barricaded,8144_0.txt
the doors and swore he would,8144_0.txt
kill the first man who attempted to enter,8144_0.txt
. The posse poured in volley after,8144_0.txt
"volley, riddling the house with bullets,",8144_0.txt
"but not injuring Jordan, who returned",8144_0.txt
the fire with his Winchester. Finally,8144_0.txt
the posse resolved to set fire to the,8144_0.txt
"house, thinking the flames would drive",8144_0.txt
"the negro out, when he would be easily",8144_0.txt
captured. The torch was applied in,8144_0.txt
several places and soon the house was,8144_0.txt
"enveloped in flames. The negro, however",8144_0.txt
", made no effort to escape.",8144_0.txt
tioned himself in the center of the,8144_0.txt
burning building and fired his Win-,8144_0.txt
chester in a vain endeavor to kill some,8144_0.txt
