value,filename
A Fugitive's Crimes.,89580_0.txt
"PADUCAH, Ky., Nov. 5.- Thomas",89580_0.txt
"Wilkins, who was a cross- roads merchant",89580_0.txt
and farmer in Graves county is,89580_0.txt
.,89580_0.txt
a fugitive from justice. He stands indicted,89580_0.txt
for arson in burning the home of,89580_0.txt
"a Sullivan, and is",89580_0.txt
strongly suspected of burning two,89580_0.txt
"barns, filled with tobacco, and a",89580_0.txt
"church. Wilkins, whose guilt is pretty",89580_0.txt
"conclusive, was arrested, but escaped.",89580_0.txt
departing bareheaded and barefooted.,89580_0.txt
"He was followed, but crossed into Illi-",89580_0.txt
nois and was lost. Wilkins is 40 years,89580_0.txt
old a wife,89580_0.txt
"He has a terrible temper, and anger led",89580_0.txt
him to commit the deeds charged,89580_0.txt
against him. Fifteen years since he,89580_0.txt
"shot and killed his mother, it was then",89580_0.txt
"thought accidentally, but it is now said",89580_0.txt
"the deed was done purposely, as Wil",89580_0.txt
kins was sole heir to his mother's property,89580_0.txt
. mob was gathering to lynch,89580_0.txt
Wilkins A when he,89580_0.txt
THE CONVICTS.,89580_1.txt
Superintendent Wade Returned,89580_1.txt
to Tracy City.,89580_1.txt
Governor Buchanan Will Not,89580_1.txt
Call Out the Militia.,89580_1.txt
A Large Force of Guards se Been,89580_1.txt
Placed,89580_1.txt
on Duty at Tracy,89580_1.txt
City and,89580_1.txt
Other Places- Mr. Goodwin Not Satisfied,89580_1.txt
- A Number of Convicts Captared,89580_1.txt
in Kentucky and Tennessee.,89580_1.txt
"CHICAGO, Nov. 6.- A Nashville special",89580_1.txt
"says: E. B. Wade, state superintendent",89580_1.txt
"of prisons, after a conference",89580_1.txt
with Governor Buchanan and Adjutant,89580_1.txt
General Norman has returned to Tracy,89580_1.txt
City. He was ordered to protect the,89580_1.txt
branch prisons there and at Inman at,89580_1.txt
all hazards.,89580_1.txt
The large force of guards at each,89580_1.txt
place has been furnished with arms and,89580_1.txt
"amununition, and special arrangements",89580_1.txt
have been made to prevent a surprise,89580_1.txt
"by mob, as at the other three branch",89580_1.txt
prisons a.,89580_1.txt
ANOTHER HOOSIER LYNCHINC.,89581_0.txt
The Seymour Mob that Hanged Turley,89581_0.txt
"Go to Brownstown, Ind., and Hang Lou",89581_0.txt
"Trensk, the Murderer of Henry Faedler.",89581_0.txt
"SEYMOUR, Ind., May 17.- Lou Trensk,",89581_0.txt
who murdered Henry Faedler a week,89581_0.txt
"ago last Sunday, was hanged at Browns",89581_0.txt
"town at 2 a. m., by a mob from this",89581_0.txt
place. The lynching party was composed,89581_0.txt
of the same men who hanged,89581_0.txt
Turley Monday morning.,89581_0.txt
At midnight an engine and two,89581_0.txt
"cabooses, which were captured in the",89581_0.txt
same manner as those taken Sunday,89581_0.txt
"night, were loaded with a larger party",89581_0.txt
than that which pulled out over the,89581_0.txt
Evansville& Richmond road Sunday.,89581_0.txt
This train was on the Ohio& Missis,89581_0.txt
sippi railroad. The run to Brownstown,89581_0.txt
was made quickly. Arriving at the,89581_0.txt
place the men had to walk a mile to the,89581_0.txt
jail. The sheriff had left the jail and,89581_0.txt
the guard had no keys.,89581_0.txt
The doors were battered down with,89581_0.txt
nasledge hammers. It took the men only,89581_0.txt
a few minutes to gent Trensk out.,89581_0.txt
was taken to the west side of the court,89581_0.txt
"house, where he was asked if he had",89581_0.txt
anything to say. He replied he did not,89581_0.txt
"think he was receiving fair treatment,",89581_0.txt
and begged God to bless his soul. The,89581_0.txt
noose was placed over his head and the,89581_0.txt
rope was thrown over the limb of a,89581_0.txt
"tree, and the murderer was pulled sky",89581_0.txt
wards at 1:20 a. m.,89581_0.txt
The crowd returned to this at 3,89581_0.txt
a. m. city,89581_0.txt
Arrived Too Late.,89582_0.txt
"At Albermarle, N. C., a mob hung J.",89582_0.txt
A. Burris just a deputy sheriff from,89582_0.txt
"Arkadelphia, Ark., arrived with requisition",89582_0.txt
papers to take him to Arkansas,89582_0.txt
"where he was wanted for murder.,",89582_0.txt
"CHARLES STEVENS, a desperado known as",89583_0.txt
""" Omaha Charley,"" who killed Hubert Kra",89583_0.txt
"mer, at Maryville, Mo., December 3d, was",89583_0.txt
"taken from jail on the 10th, after a fight",89583_0.txt
"the sheriff, by a mob, who hung him",89583_0.txt
with on a railroad bridge.,89583_0.txt
""" DUB"" MEETZ, a noted white",89584_0.txt
"desperado, was lynched in Lexington",89584_0.txt
"County, S. C., on the 17th. He tried to",89584_0.txt
cremate his wife and two children.,89584_0.txt
"Whites and blacks captured him, and",89584_0.txt
him to the scene of his attempted,89584_0.txt
crime taking shot him to death.,89584_0.txt
HARD ON RICHARDSON.,89585_0.txt
The Lynchers in Tennessee Will Be Run,89585_0.txt
"to Cover and Prosecuted,",89585_0.txt
"MEMPHIS, Sept. 5.- The five men arrested",89585_0.txt
on suspicion of being concerned,89585_0.txt
in Friday night's lynching are out on,89585_0.txt
"bail. They are W. S. Richardson, the",89585_0.txt
officer who had the six negroes in,89585_0.txt
"charge; E. T. Atkinson, the driver of",89585_0.txt
"of the wagon; J. W. Walker, W. S.",89585_0.txt
Thompson and J. D. Laxton. The last,89585_0.txt
"three are farmers living near Kerrville,",89585_0.txt
where the negroes lynched are alleged,89585_0.txt
to have done the greater part of the,89585_0.txt
barn burning.,89585_0.txt
"Judge Cooper, of the criminal court,",89585_0.txt
"at first fixed the bail at$ 10,000 each,",89585_0.txt
"but later reduced it$ 5,000 upon their",89585_0.txt
showing that they were poor men and,89585_0.txt
unable to furnish the large amount.,89585_0.txt
The grand jury is in session and has,89585_0.txt
summoned a large number of witnesses,89585_0.txt
in connection with the lynching.,89585_0.txt
When Richardson appeared on the,89585_0.txt
streets he was soon made to feel that it,89585_0.txt
would have been much pleasanter for,89585_0.txt
him to remain in jail. The most that,89585_0.txt
charity can say for him is that his con,89585_0.txt
"duct was blameworthy foolhardiness,",89585_0.txt
and there is seemingly a larger as well,89585_0.txt
as an unkinder multitude who believe,89585_0.txt
that he knew an attempt would be made,89585_0.txt
"to lynch his prisoners, and that he led",89585_0.txt
them into the hands of the mob by,89585_0.txt
bringing them over a previously declared,89585_0.txt
route.,89585_0.txt
The wife of one of the victims stated,89585_0.txt
"that Atchison, the driver of the wagon,",89585_0.txt
told her the morning after the lynching,89585_0.txt
that Richardson held the ligt while his,89585_0.txt
prisoners were shot to death. But,89585_0.txt
Atchison denied that he had made such,89585_0.txt
"a statement, and he insisted that Rich-",89585_0.txt
ardson held his hands above his head,89585_0.txt
while the shooting was in progress.,89585_0.txt
"It was discovered, when the warrants",89585_0.txt
"of arrest were examined, that they were",89585_0.txt
"drawn up by Richardson, sworn to by",89585_0.txt
Laxton and signed by the magistrate,89585_0.txt
without question. Warrants are us,89585_0.txt
nally written out by magistrates them,89585_0.txt
selves.,89585_0.txt
"A new set of officials were sworn in,",89585_0.txt
and the papers and people of Memphis,89585_0.txt
are demanding an enforcement of,89585_0.txt
law. the,89585_0.txt
Governor Turney Outspoken.,89585_1.txt
"CHATTANOOGA, Sept. 5. 1 Governor",89585_1.txt
Turney intends to punish members of,89585_1.txt
"the mob who ynched six negroes, the",89585_1.txt
alleged incendiaries at Millington Fri-,89585_1.txt
day night. The governor has just,89585_1.txt
passed through the city on his way to,89585_1.txt
Nashville. In an interview he said:,89585_1.txt
""" The Millington lynchers must be",89585_1.txt
"brought to justice, and i will begin",89585_1.txt
with a thorough investigation at once.,89585_1.txt
I will assist the Memphis authorities by,89585_1.txt
offering large rewards and employing,89585_1.txt
detectives to run down the beasts who,89585_1.txt
