value,filename
able to measure the magnitude of that,89755_0.txt
"fault for, with fourteen to sixteen hours a",89755_0.txt
day devoted to efforts to create sufficient,89755_0.txt
police protection for the life of him with,89755_0.txt
"whom the peace of Mexico is bound up, it",89755_0.txt
may well have happened that the functions,89755_0.txt
of the heart have acquired a preponderance,89755_0.txt
"of the brain and that, in reality, I",89755_0.txt
have committed a grave error. I thought I,89755_0.txt
was doing right in organizing a popular,89755_0.txt
manifestation to avenge an attack on the,89755_0.txt
President and thus give birth in the people,89755_0.txt
to a profound conviction that punishment,89755_0.txt
for such an act would come swiftly in the,89755_0.txt
form lynching or whatever it may be,89755_0.txt
"styled. of""",89755_0.txt
VELASQUEZ'S CONFESSION.,89755_0.txt
Why Mexico City's Police Inspector,89755_0.txt
Lynched Arroyo.,89755_0.txt
"CITY OF MEXICO, Nov. 18.- A profound",89755_0.txt
sensation was made in the course of the,89755_0.txt
trial of the police officials charged with the,89755_0.txt
"murder of Arroyo, by the production of the",89755_0.txt
confession of the late Inspector General of,89755_0.txt
Police Velasquez. It is a most remarkable,89755_0.txt
"attempt at self- justification, and falsely",89755_0.txt
states that a mob of the common people,89755_0.txt
"Arroyo. Velasquez said, in part:",89755_0.txt
"lynched"" I entertain most enthusiastic/ admiration",89755_0.txt
saying:,90071_1.txt
""" Guilt of the two Negroes lynched",90071_1.txt
"beyond doubt.""",90071_1.txt
was The story further set out that,90071_1.txt
hanged mob. and farm by prison gla,90279_0.txt
Aug. 16- Leo Frank taken from Geor,90279_0.txt
because it is contrary and reprehensible to sound thinking.,90586_0.txt
"As to reason number( 2), has the Negro problem enough",90586_0.txt
weight to be considered during these tumultuous times? Up to,90586_0.txt
"date 2,689 Negroes have been lynched since 1899, only 19.8 per",90586_0.txt
"cent were"" accused"" of rape. There have been three race riots",90586_0.txt
of world- wide significance within the last four months and increased,90586_0.txt
racial friction all over the country. It is reported that,90586_0.txt
over 150 people have been killed in these riots and over 700,90586_0.txt
"injured; over$ 3,000,000 worth of property has been destroped.",90586_0.txt
Foreign countries have flung sarcastic remarks into the teeth of,90586_0.txt
"our government- Germany, England, France, Brazil, Japan",90586_0.txt
"and Mexico. Twelve million Negroes, one- twelfth of America's",90586_0.txt
"population, are denied equal protection of the laws. The problem",90586_0.txt
has great weight and reason number( 2) is prima,90586_0.txt
worthless. facie,90586_0.txt
France has completely wiped such a,90592_0.txt
sting from her pages and left a clean,90592_0.txt
sheet. The United States and the so-,90592_0.txt
called Americans have that lesson to,90592_0.txt
learn and I am ... aid the price they,90592_0.txt
will pay for the unjust treatment to the,90592_0.txt
"American Negro and the 3,500 lynchings",90592_0.txt
in this country will be a dear one.,90592_0.txt
Many a congressman and senator to,90592_0.txt
will live to see when these condi-,90592_0.txt
".day tions confront them and will say,|",90592_0.txt
3. Psychological: Brutalization of,90596_3.txt
"men, women and children who take",90596_3.txt
"part in and witness hangings, burnings",90596_3.txt
at stake and the horrors of lynching,90596_3.txt
". Dr. A. A. Brill, neurologist, formerly",90596_3.txt
"chief of clinic in psychiatry, Co",90596_3.txt
"lumbia University, Lecturer at New",90596_3.txt
York university; assistant professor of,90596_3.txt
psychiatry at Post- Graduate,90596_3.txt
"School, says: Medical",90596_3.txt
"Well, Mrs. Ingram is an innocent",90749_0.txt
woman. Her sons are innocent,90749_0.txt
sons. Yet they the held,90749_0.txt
by you in contempt and are compelled,90749_0.txt
to suffer this form of,90749_0.txt
