value,filename
NEGROES BADLY MUTILATED,87158_0.txt
Unknown Colored Men Lynched Because,87158_0.txt
of Murder of Police Chief.,87158_0.txt
[ BY ASSOCIATED PRESS.],87158_0.txt
"Philippi, W. Va., July 24.- Two negroes,",87158_0.txt
"whose names are unknown, were lynchl",87158_0.txt
"at Womelsdorf, near here, last night by an",87158_0.txt
angry mob numbering several hundred.,87158_0.txt
The first victim was shot and killed in,87158_0.txt
"the stationhouse, and the second was taken",87158_0.txt
"to the park, where he was hanged and then",87158_0.txt
riddled with bullets and cut to pieces.,87158_0.txt
Both whites and negroes are enraged and,87158_0.txt
in arms.,87158_0.txt
The trouble grew out of yesterday's murder,87158_0.txt
of Chief of Police Wilmeth of Elkins.,87158_0.txt
Several other arrests have been made and,87158_0.txt
lynching seems imminent.,87158_0.txt
The dead blacks were caught near Bel,87158_0.txt
"lington and locked up there, the officers",87158_0.txt
fearing lynching if taken to Elkins.,87158_0.txt
Negroes are leaving on every train.,87158_0.txt
The lynched men were horribly mutilated,87158_0.txt
and their bodies left on the,87158_0.txt
mons. com,87158_0.txt
"A mob at Pierre, Dak., lynched a",87159_0.txt
white murderer on flagpole in front,87159_0.txt
of the courthouse. a,87159_0.txt
"Bonifay, Fla., Aug. 1.- Two negroes",87160_0.txt
after confessing to the murder of Bes,87160_0.txt
"sie Morrison, 12 years old, were hanged",87160_0.txt
here by an infuriated mob,87160_0.txt
day afternoon. Saturat,87160_0.txt
LYNCHING AHEAD OF A LOTHARIO.,87161_0.txt
Mrs. Philyag Writes a Letter of,87161_0.txt
Warning to Her Lover.,87161_0.txt
"Athens, Ga., Dec. 7.- Mrs. J. D. Philyaw,",87161_0.txt
the Mississippi woman who ran away from,87161_0.txt
"her husband with John T. Alexander, and",87161_0.txt
"who was stopped at this place, has written",87161_0.txt
back from her home in Mississippi to,87161_0.txt
"Alexander, who is now here in jail, telling",87161_0.txt
him to prepare to die and meet his,87161_0.txt
"God, as a mob is ready to lynch him when",87161_0.txt
he is brought back to Mississippi. Mrs.,87161_0.txt
Philyaw is still infatuated with Alexan,87161_0.txt
"der, and writes to him in an endearing",87161_0.txt
manner. An attempt will be made here,87161_0.txt
next Wednesday to have Alexander,87161_0.txt
leased from custody. re,87161_0.txt
Singular Action of a Prosecuting Attorney,87163_0.txt
.,87163_0.txt
"MEMPHIS, Tenn., Nov. 1.- Some time",87163_0.txt
"go Lee Walker, charged with attempting",87163_0.txt
"to commit rape, was taken from",87163_0.txt
"the jail by a mob, hanged, burned and",87163_0.txt
"cut to pieces. A. J. McLendon, the",87163_0.txt
"sheriff, and a number of deputies were",87163_0.txt
indicted for permitting the jail to be,87163_0.txt
stormed. Phil Bode and three others,87163_0.txt
were indicted for murder.,87163_0.txt
After exhausting a venire of 500 men,87163_0.txt
without securing a single juror the,87163_0.txt
attorney- general nolle prossed the,87163_0.txt
"cases, both as to McLendon and as",87163_0.txt
the leaders of the mob. to,87163_0.txt
a sufferer with tuberculosis for years.,87164_0.txt
MOB HANGS NEGRO.,87164_0.txt
"FORT SMITH, Ark., March 24.- A",87164_0.txt
mob removed an unidentified negro,87164_0.txt
from the county jail last evening and,87164_0.txt
hanged him. He was accused of,87164_0.txt
ing a deputy. shoot,87164_0.txt
"The police of Terre Haute, Ind., barely",87166_0.txt
the lynching of a negro who had,87166_0.txt
prevented fatally wounded a white man.,87166_0.txt
"HAWESVILLE, Ky., Sept. 28.- Ray.",87167_0.txt
"mond Bushrod, the negro who assaulted",87167_0.txt
"Miss Maggie Roberts near Petrie,",87167_0.txt
"miles from here, was taken from",87167_0.txt
three Hawesville jail at 5 p. m. and lynched.,87167_0.txt
Two young men named Smith and,87168_0.txt
"Hammond, confined in jail in Owen county,",87168_0.txt
"Kentucky, for the murder of a highly respected",87168_0.txt
"citizen, were taken out by a masked",87168_0.txt
"mob hung upon the nearest tree, on the",87168_0.txt
night and of the 21st.,87168_0.txt
"A Negro lynched two years ago at Mayfield,",87169_0.txt
"8. C., for murder is said to have left a itten",87169_0.txt
"statement, which has just been found, con",87169_0.txt
"fessing that he murdered the Woolfolk family,",87169_0.txt
"for which Thomas Woolfolk the eldest son,",87169_0.txt
"was hanged, protesting his innocence,.",87169_0.txt
Lynoh Law in New Mexico- Three Oow,87170_0.txt
-,87170_0.txt
boys Murdered by a Mob.,87170_0.txt
"NEw York, Feb. 9.- A special from Las Vegas,",87170_0.txt
"N. M., states that the cowboys Jim West, John",87170_0.txt
Dorhey and Tom Henry. implicated in the,87170_0.txt
"shooting of the city marshal, Carson. at a",87170_0.txt
"dance two weeks ago, were taken from their",87170_0.txt
"cells by a mob of seventy- five men, who",87170_0.txt
West and riddled the others with bullets. hung,87170_0.txt
"A mob took Jim Sellers, a negro mur.",87171_0.txt
"derer, from county jail at Pitts",87171_0.txt
"boro, Miss., and the shot him to death.",87171_0.txt
"A mob hanged Jim Grey, a negro",87171_1.txt
"near Goldville, S., for assaulting a",87171_1.txt
child. C.,87171_1.txt
John D. Sargent was hanged by a,87171_2.txt
"mob near Jackson's Hole, Wyo., for",87171_2.txt
abuse that caused the death of,87171_2.txt
"wife, his",87171_2.txt
At Reading and Baltimore the coroner's,87172_0.txt
jaries acquit the soldiers of all blame for the,87172_0.txt
"killing during the riots, holding that the aggressive",87172_0.txt
action of the mob placed the soldiers,87172_0.txt
imminent danger of losing their lives and,87172_0.txt
justified in them in firing.,87172_0.txt
A New Way.,87173_0.txt
"At Warrenton, Va., the negroes lynched",87173_0.txt
Peter Atwood for carnally knowing the wife of,87173_0.txt
one of the mob. They hung him up by the,87173_0.txt
heels and left him for the night. He was,87173_0.txt
"found next morning still hanging, by some",87173_0.txt
