value,filename
Under The Lash of The Whip,90607_0.txt
"Colored people are being bombed and burned, discriminated",90607_0.txt
"and lynched, yet every night the same giggling, silly ,,",90607_0.txt
"insipid faces can be seen sucking caberet"" liquid"" thru a straw",90607_0.txt
and dancing away the time that should be used for organization,90607_0.txt
and preparation. What should be done to wake the race up?,90607_0.txt
the politicians that protect the vicious institutions,90607_0.txt
Probably have a remedy.,90607_0.txt
Threats of Lynching heard.,90607_1.txt
"Flemingsburg, Ky., Feb. 14.- The",90607_1.txt
blood of the Southerners has been,90607_1.txt
"aroused again, this thin charge that",90607_1.txt
shirks the light or reason. This community,90607_1.txt
is up in arms and is demand-,90607_1.txt
"ing the life of Grant Smith, charged",90607_1.txt
"Ruby Anderson,",90607_1.txt
with attacking,90607_1.txt
"daughter of Leonard Anderson, prominent",90607_1.txt
farmer of Johnson Junction.,90607_1.txt
Smith who has been in the employ,90607_1.txt
of Anderson for some time is,90607_1.txt
now in Ohio. The attack alleged to,90607_1.txt
have occurred on February 10. Relatives,90607_1.txt
of Smith received a letter,90607_1.txt
from him postmarked Ohio on Feb.,90607_1.txt
3rd. How these two facts are to be,90607_1.txt
"reconciled is a delicate question, but",90607_1.txt
one which is not worrying the South-,90607_1.txt
erners.,90607_1.txt
"Two sheriff's left for Columbus,",90607_1.txt
Ohio and other for Cincinnati yesterday,90607_1.txt
with the avowed intention of,90607_1.txt
him back to the,90607_1.txt
bringing appease,90607_1.txt
wrath of the whites.,90607_1.txt
Interest is centered now on the,90607_1.txt
Ohio's granting extradition papers.,90607_1.txt
"On the face of the evidence, colored",90607_1.txt
citizens say it is highly unlikely that,90607_1.txt
extradition will be granted. That the,90607_1.txt
sheriff will invent some tale is highly,90607_1.txt
probable but whether Ohio will be,90607_1.txt
deceived is the question.,90607_1.txt
The whites are bent on wrecking,90607_1.txt
"vengeance, their ire has been fanned",90607_1.txt
"into flames, by two things: first th",90607_1.txt
news from Lexington and secondly,90607_1.txt
the activities of a certain lawyer of,90607_1.txt
"city, who in good old fashioned",90607_1.txt
that style addressed the Whites on street,90607_1.txt
The politician in Washington,90607_2.txt
