value,filename
Bu United Press,90065_0.txt
"MARION ,, Ind., Aug. 12.- Normal",90065_0.txt
conditions prevailed in Marion again,90065_0.txt
"today, after the most exciting weekend",90065_0.txt
"in the city's history, subsequent",90065_0.txt
to the lynching of two Negroes on,90065_0.txt
the courthouse lawn Thursday night.,90065_0.txt
"State troops, composed of Company",90065_0.txt
"K, Fort Wayne, and I, South",90065_0.txt
"Bend, under command of Colonel",90065_0.txt
"George H. Healy, left last night for",90065_0.txt
"Camp Konx, Ky., to resume training",90065_0.txt
", and all but three members of",90065_0.txt
the state police squad likewise returned,90065_0.txt
to regular duties.,90065_0.txt
Local officials agreed that they,90065_0.txt
weald be able to handle the situation,90065_0.txt
", after funerals of the two",90065_0.txt
Negroes Monday.,90065_0.txt
With the burial of the,90065_0.txt
"Negroes lynched, Abraham Smith two",90065_0.txt
"and Thomas Shipp, there seemed to",90065_0.txt
be no further need for the troops or,90065_0.txt
state police here.,90065_0.txt
Complete and thorough investigation,90065_0.txt
and prosecution of the participants,90065_0.txt
in the double- lynching is,90065_0.txt
the program mapped out.,90065_0.txt
The situation was studied at a,90065_0.txt
meeting late Monday in the office,90065_0.txt
of Attorney- General James M. Og-,90065_0.txt
"den, at which were present Earl B.",90065_0.txt
"Stroup and Marle Wall, two deputy",90065_0.txt
attorneys- general; Harley F. Har-,90065_0.txt
"din, Grant county prosecutor, and",90065_0.txt
"L. O. Chasey, secretary to the Governor",90065_0.txt
.,90065_0.txt
The prosecution will be pushed,90065_0.txt
under the provisions of the state,90065_0.txt
"lynching law, which provides a penalty",90065_0.txt
of life imprisonment or death,90065_0.txt
"Hardin said.,",90065_0.txt
Lynching Probe Near End,90066_0.txt
"MARION, Ind., Sept. 19.- The",90066_0.txt
Grant county investigation of the,90066_0.txt
lynching of two Negroes here Aug.,90066_0.txt
7 probably will be completed by the,90066_0.txt
"middle of next week, it was indicated",90066_0.txt
today. Although a large,90066_0.txt
number of witnesses have been,90066_0.txt
"called before the body, it was believed",90066_0.txt
the jury has experienced,90066_0.txt
difficulty in obtaining direct evidence,90066_0.txt
of the affair or names,90066_0.txt
participants. of,90066_0.txt
The Negro was captured Sunday,90067_0.txt
by three citizens who saw him flee,90067_0.txt
from the shoe shop of Gus Fush-,90067_0.txt
ianes after the latter was beaten on,90067_0.txt
the head with a hammer in a robbery,90067_0.txt
attempt. A mob hastily assembled,90067_0.txt
", but police rescued the Ne-",90067_0.txt
before threats at lynching,90067_0.txt
gro could be executed.,90067_0.txt
MOB LYNCHES,90067_1.txt
SUSPECT,90067_1.txt
NEGRO IN 2 KILLINGS,90067_1.txt
Tearful Test,90068_0.txt
By United Press,90068_0.txt
"VALPARAISO, Ind., Sept. 6.",90068_0.txt
-Porter county officials here,90068_0.txt
were in tears as a result of the,90068_0.txt
lynching of two Negroes in,90068_0.txt
Marion a mont hago .. The,90068_0.txt
tears were shed because Sheriff,90068_0.txt
Burney Maxwell accidentally,90068_0.txt
let loose some tear gas in experimenting,90068_0.txt
on methods to,90068_0.txt
handle mobs that might attempt,90068_0.txt
to storm his jail.,90068_0.txt
""" You can't tell me a mob",90068_0.txt
could stand up against any one,90068_0.txt
armed with some of these,90068_0.txt
"shells,"" Maxwell said after",90068_0.txt
test. the,90068_0.txt
Two companies of guardsmen returned,90069_0.txt
"from Marion, Ind., Tuesday,",90069_0.txt
where they had been stationed under,90069_0.txt
command of Colonel George H.,90069_0.txt
"Healey, Indianapolis, following the",90069_0.txt
lynching of two Negroes,90069_0.txt
"Among certain tribes. of Africa,",90069_0.txt
Additional names of persons alleged,90070_0.txt
to have had an active part in,90070_0.txt
the lynching of two Negroes at,90070_0.txt
"Marion, Ind., Aug. 7, have been",90070_0.txt
transmitted to Attorney- General,90070_0.txt
"James M. Ogden by Walter White,",90070_0.txt
"New York, secretary of the National",90070_0.txt
Association for the Advancement of,90070_0.txt
"Colored People, Ogden disclosed today",90070_0.txt
The. atorney- general has turned,90070_0.txt
NOTE TO OGDEN,90071_0.txt
BARES NAMES,90071_0.txt
OF LYNCH MOB,90071_0.txt
Letter Believed to Contain,90071_0.txt
"Identity of Leaders,",90071_0.txt
State Chief Says.,90071_0.txt
HARDIN DENIES STORY,90071_0.txt
Claims The Times Interview,90071_0.txt
Is' Lie;' Visit Here,90071_0.txt
Is Verified.,90071_0.txt
"A letter, ufderstood to contain",90071_0.txt
names of leaders of the Marion,90071_0.txt
( Ind.) mob that lynched two Ne-,90071_0.txt
"groes there Aug. 7, is in possession",90071_0.txt
of Attorney- General James M. Og-,90071_0.txt
"den, he said today on his return",90071_0.txt
from the National Bar Association,90071_0.txt
"meeting, in Chicago.",90071_0.txt
"Two other epistles, from Harley",90071_0.txt
"F. Hardin, Grant county prosecutor,",90071_0.txt
also were received by Ogden. Both,90071_0.txt
dealt with the Marion lynchings.,90071_0.txt
The information on leaders of the,90071_0.txt
lynch- mob was dispatched to the,90071_0.txt
"attorney general by Walter White,",90071_0.txt
secretary of the National Association,90071_0.txt
for Advancement of Negroes.,90071_0.txt
Ogden told The Times he not,90071_0.txt
"read the letter, late this morning had.",90071_0.txt
as a salesman of toilet articles.,90072_0.txt
Sheriff Jacob Campbell raided his,90072_0.txt
room and found a large quantity of,90072_0.txt
"Red literature, in addition to a report",90072_0.txt
made by alleged Communist,90072_0.txt
"agents after the lynching, which",90072_0.txt
contained the names of Negroes and,90072_0.txt
likely to be interested in a,90072_0.txt
others subversive movement.,90072_0.txt
By United Press,90072_0.txt
"MARION, Ind., Sept. 23.- Revelations",90072_0.txt
of alleged Communistic activities,90072_0.txt
in the Negro district of Mar-,90072_0.txt
"ion, based upon reports of Communist",90072_0.txt
agents after the recent,90072_0.txt
"lynching of two Negroes, were made",90072_0.txt
today with arrest of August E.,90072_0.txt
"Poansjoe, 45, a native of Sweden.",90072_0.txt
Poansjoe had been in the,90072_0.txt
"district for several days, presumably Negro",90072_0.txt
""" drinking prohibitionist",90073_0.txt
""" and condoner",90073_0.txt
of lynching,90073_0.txt
", had been retired",90073_0.txt
to private,90073_0.txt
life.,90073_0.txt
Former Con-,90073_0.txt
James,90073_0.txt
gressman,90073_0.txt
F. Byrnes had a,90073_0.txt
"majority of 4,970",90073_0.txt
votes with only,90073_0.txt
212 of the state's,90073_0.txt
"1,528 precincts yet",90073_0.txt
to be counted.,90073_0.txt
