value,filename
MEN And THINGS And THINGS,bp341.txt
By ELIJAH HODGES HODGES ELIJAH,bp341.txt
THE MISSISSIPPI LYNCHINGS MISSISSIPPI LYNCHINGS,bp341.txt
V,bp341.txt
The recent Mississippi ´lynchings of,bp341.txt
two colored boys and a man within a,bp341.txt
week arouses the suspicion that the,bp341.txt
southi is set to re-enact the iniquitous,bp341.txt
barbarity which converted her into,bp341.txt
a bloody shambles following Recon-,bp341.txt
struction days. It is one of the puz-,bp341.txt
zies of civilization that any country,bp341.txt
ran have the guts to send thousands,bp341.txt
of its citizens to lay down their lives,bp341.txt
for the preservation of a principle in,bp341.txt
"which they seem to have no part,",bp341.txt
What,bp341.txt
must,bp341.txt
be,bp341.txt
the effect upon the,bp341.txt
morale of these,bp341.txt
Negroes at,bp341.txt
the,bp341.txt
"front to know that,",bp341.txt
while they,bp341.txt
are,bp341.txt
across the world,bp341.txt
ighting for demo-,bp341.txt
"racy, their broth-",bp341.txt
is are being,bp341.txt
ynched at home.,bp341.txt
When we speak of,bp341.txt
"democracy, do we",bp341.txt
want them to feel,bp341.txt
Hodges Elijah Hodges,bp341.txt
that we mean white democracy? II,bp341.txt
"so, say it and quit playing the ""suck-",bp341.txt
"er's game"" of both ends against the",bp341.txt
middle.,bp341.txt
Federal Government To Blame,bp341.txt
When men go to fight for all they,bp341.txt
"hold dear, they have no time for the",bp341.txt
"thought that some ""Simon Legree,""",bp341.txt
"with bloodhound and shotgun, may be",bp341.txt
chasing their brothers through the,bp341.txt
"swamps of Georgia, or that a son is",bp341.txt
shot to death and dragged through the,bp341.txt
Negro section of New Orleans at the,bp341.txt
wheel of an automobile.,bp341.txt
Such,bp341.txt
thoughts are demoralizinfi to men,bp341.txt
and have a bad effect upon their eff-,bp341.txt
ciency as a fighting unit. If we must,bp341.txt
"send men out to fight, make them",bp341.txt
feel that what they are fighting for is.,bp341.txt
being taken care of by their govern-,bp341.txt
"ment at home. But, to send men to",bp341.txt
fight for their country and suffer the,bp341.txt
families to be murdered while they are,bp341.txt
away is the fault of the Federal Gov-,bp341.txt
ernment. The Federal Government,bp341.txt
has just as much authority to protect,bp341.txt
all the citizens of all the states as it,bp341.txt
has to take some or all of he citizens,bp341.txt
from all of the states and make sol-,bp341.txt
diers of them.,bp341.txt
Morale Endangered,bp341.txt
If we expect to have good soldiers,bp341.txt
"at the front, we should send them",bp341.txt
away feeling that their government,bp341.txt
appreciates them and not to feel like,bp341.txt
cattle going to slaughter.,bp341.txt
White soldiers have access to the,bp341.txt
most up-to-date recreation centers all,bp341.txt
"over the land, while Negro service-",bp341.txt
men are in most cases limited to the,bp341.txt
meager facilities which their own peo-,bp341.txt
ple can provide. But why should this,bp341.txt
be when all are Americans and fight-,bp341.txt
ing for the same cause? The white,bp341.txt
soldier has everything to look forward,bp341.txt
"to when returned to civilian life, but",bp341.txt
the most that the Negro can look for-,bp341.txt
"ward to is, ""you have been a good",bp341.txt
"soldier, now go back home and ba",bp341.txt
"kicked around like a good n-""",bp341.txt
Guilty Feeling,bp341.txt
The Negro is buying bonds and,bp341.txt
"stamps to help finance this war, but",bp341.txt
"when it is over, the whites will have",bp341.txt
all the jobs and the Negro will have,bp341.txt
"to sell his bonds at a loss, just as he",bp341.txt
did in the last war. Now in the midst,bp341.txt
"of another great war, when everyone",bp341.txt
"else is praying for victory, Mississip-",bp341.txt
pl must break the spell to indulge in,bp341.txt
"her ancient pastime of ""Negro lynch-",bp341.txt
"ing,"" which to her is more precious",bp341.txt
than victory. I sometimes imagina,bp341.txt
how guilty the missionaries must feel,bp341.txt
when going from a country whose,bp341.txt
hands are red with the blood of inno-,bp341.txt
cent victims to teach peoples in other,bp341.txt
"lands ""The Way of the Cross."" The",bp341.txt
"Negro knows that he is being ""pushed",bp341.txt
"around,"" but he also knows that he",bp341.txt
"is an American, too, and that this is",bp341.txt
"his war unto the end, whether it be",bp341.txt
victory or defeat.,bp341.txt
Reform Comes Slowly,bp341.txt
"""There are more things in heaven",bp341.txt
and earth than were ever dreamed,bp341.txt
"of in our philosophy."" We cannot",bp341.txt
look into the seeds of time and tell,bp341.txt
which grain will grow and which,bp341.txt
"will not. Therefore, if it be the will",bp341.txt
of God that the blood drawn by these,bp341.txt
Negro executions in the south shall in,bp341.txt
"His own way and time, react to",bp341.txt
"""damn"" the executioners, let it be",bp341.txt
"said, ""We still believe, His purposes",bp341.txt
"are righteous altogether.""",bp341.txt
Reforms which are to be lasting,bp341.txt
"never make haste in coming ""The mills",bp341.txt
"of the gods grind slowly, but they",bp341.txt
"grind exceedingly fine.""",bp341.txt
A Colored Judge-,bp341.txt
World,bp342.txt
GEORGE S. SCHUYLER SCHUYLER S.,bp342.txt
Governor,bp342.txt
"lated. Liberals ""view with",bp342.txt
"alarm"" and the NAACP",bp342.txt
launches another anti-lynch-,bp342.txt
ing bill. Knowing they are,bp342.txt
"immune, the lynchers' only",bp342.txt
concern is whether manpower,bp342.txt
demands of a democratic war,bp342.txt
will deprive them of future,bp342.txt
victims. They find hope in,bp342.txt
the rising birth rate.,bp342.txt
GALLANT SENATOR PEP-,bp342.txt
PER'S anti-poll tax bill is buried,bp342.txt
in the Senate judiciary committee.,bp342.txt
It may be released for debaté this,bp342.txt
week.,bp342.txt
and,bp342.txt
learned,bp342.txt
patriotic,bp342.txt
Meanwhile,bp342.txt
Southern Senators oppos-,bp342.txt
Ing the measure are boning up on,bp342.txt
"the nebular hypothesis, the proper",bp342.txt
"preparation of kangaroo_soup, tu-",bp342.txt
"berculosis in Nepal and Bhutan,",bp342.txt
the swamp areas of Labrador and,bp342.txt
other interesting topics for discus-,bp342.txt
sion to delay consideration of the,bp342.txt
Pepper bill. This will enhance re-,bp342.txt
spect for the democratic process.,bp342.txt
General Davis's report min-|,bp342.txt
imizing racial friction be-,bp342.txt
tween colored and white,bp342.txt
Americans in England proves,bp342.txt
value of trained Negro ob-,bp342.txt
servers in Government. Re-,bp342.txt
ports in white papers and,bp342.txt
from returning Negroes indi-,bp342.txt
cated the situation was ser-,bp342.txt
"ious, and even General Eisen-",bp342.txt
"hower showed concern, but",bp342.txt
now General Davis has spoken,bp342.txt
"and we know it was all ""much",bp342.txt
"ado about nothing.""",bp342.txt
MESS ATTENDANT FRED,bp342.txt
FRENCH became recognized as,bp342.txt
Negro. Hero No. 2 of World War,bp342.txt
II when a young naval ensign told,bp342.txt
Associated Press reporters of the,bp342.txt
Negro's exploit of towing a raft-,bp342.txt
load of wounded white sailors,bp342.txt
from the sunken destroyer Gre,bp342.txt
"gory in the Solomon Islands, to-",bp342.txt
ward land. We all hope the Navy,bp342.txt
Department will not take,bp342.txt
months to reward this hero as it,bp342.txt
did in the case of Dorie Miller.,bp342.txt
two,bp342.txt
Indians must be superior to,bp342.txt
Americans. A. N.Y. Times',bp342.txt
correspondent visiting the,bp342.txt
military academy at Dehra,bp342.txt
"Dun reports ""Hindu, Moslem,",bp342.txt
"Untouchable, Brahmin, Pa-",bp342.txt
than tribesman and former,bp342.txt
"English clerks, all are learning",bp342.txt
"to get along, like and under-",bp342.txt
stand each other. Hindu and,bp342.txt
Moslems drink the same,bp342.txt
water. A Hindu does not care,bp342.txt
if the Moslem next to him,bp342.txt
"eats beef, while the Moslem",bp342.txt
pays no attention to the pork-,bp342.txt
"eater at his elbow.""",bp342.txt
caused,bp342.txt
"HE CONTINUES, ""They do not",bp342.txt
like having depressed class young-,bp342.txt
sters with them but they accept it,bp342.txt
and it has never yet,bp342.txt
"trouble."" If this can happen where",bp342.txt
"the caste system is over 2,000 years",bp342.txt
"old, it shows the Indians are will-",bp342.txt
ing to make greater sacrifices for,bp342.txt
victory than Americans who insist,bp342.txt
on keeping colored and white,bp342.txt
"youths in separate ""racial"" units;",bp342.txt
although the caste system is com-,bp342.txt
parátively recent.,bp342.txt
New York's Governor Leh-,bp342.txt
"man, an NAACP director and",bp342.txt
leading Jewish spokesman fi,bp342.txt
