value,filename
Act On Lynchings On Lynchings,bp506.txt
"Editor, The Pittsburgh Courier,",bp506.txt
"Pittsburgh, Pa.",bp506.txt
Dear Sir:,bp506.txt
"I have read the views of many,",bp506.txt
"many writers, and recently so much",bp506.txt
stress has been laid on the topic of,bp506.txt
"mob law and lynching, that 1, for",bp506.txt
"one, have been waiting for some-",bp506.txt
thing worthwhile to materialize.,bp506.txt
I offered a solution a few weeks,bp506.txt
ago by offering to go with a gang,bp506.txt
of men to the southern cities and,bp506.txt
rural districts and put on a Chicago,bp506.txt
"gang act, I have secured a number",bp506.txt
"of names from different states, who",bp506.txt
have volunteered their services for,bp506.txt
"such a movement, but the only",bp506.txt
MAN who wrote me was Bill Wash-|,bp506.txt
"ington, right here in Cincy. The",bp506.txt
others were all married men and,bp506.txt
would not do for a cause of this,bp506.txt
kind.¸. The singie men have not,bp506.txt
come forward for they do not seem,bp506.txt
to be interested yet it seems to be,bp506.txt
these follows that are the direct,bp506.txt
cause of the race trouble by taking |,bp506.txt
a second look at some little white,bp506.txt
"tramp, on a dark night.",bp506.txt
I have been so severely criticized,bp506.txt
"for my action, and one colored or-",bp506.txt
ganization advised me that I was,bp506.txt
inciting a young war; that I have,bp506.txt
been compelled to do what we have,bp506.txt
been doing all this time-walt.,bp506.txt
One writer stated two weeks ago,bp506.txt
"that we were forging ahead, but",bp506.txt
she should be running around the,bp506.txt
country day after day and see how,bp506.txt
"we live as a majority. Of course,",bp506.txt
we that are in nice cozy homes in,bp506.txt
the north little realize what it is all,bp506.txt
about. This writer bases her claim,bp506.txt
on the fact that we have such a,bp506.txt
"large number of lawyers doctors,",bp506.txt
"and other professionel people, but",bp506.txt
I would like to show that writer the,bp506.txt
names and addresses of Pullman,bp506.txt
"porters, janitors, redcaps and com-",bp506.txt
"mon laborers, malds, waitresses and",bp506.txt
laundresses with a college educa-,bp506.txt
tion. She also stated further that,bp506.txt
lynching was the only thing we,bp506.txt
"seemed concerned about, but I wish",bp506.txt
to inform her and all other writers,bp506.txt
that lynching is the taking of hu-,bp506.txt
man life and I believe no education,bp506.txt
can take the place of the people,bp506.txt
who can offer a solution to stop this,bp506.txt
evil cause.,bp506.txt
We are fed up on the white-col-,bp506.txt
ored and also white livered race,bp506.txt
"leaders. We are tired of promises,",bp506.txt
This is the age when everything,bp506.txt
must be proved and the quicker we,bp506.txt
have some more real men of the,bp506.txt
"calibre of DePriest, who will not",bp506.txt
"bow and scrape, the better it will be",bp506.txt
for our race. It would also be a,bp506.txt
good thing if the young Negro,bp506.txt
could learn that he has the most,bp506.txt
beautiful women on earth and,bp506.txt
should boost and glorify them and,bp506.txt
leave the pasty-faced girls of the,bp506.txt
other race alone.,bp506.txt
"806 Eighth St.,",bp506.txt
Cincinnati.,bp506.txt
O.,bp506.txt
Robt. H. Neal.Robt,bp506.txt
FLA. GOVERNOR PROMISES ACTION IN LYNCHING. GOVERNOR PROMISES ACTION IN LYNCHING,bp507.txt
PRISONER,bp507.txt
(Continued from Page 1),bp507.txt
which you would use to the t,bp507.txt
most should a lynching occur in,bp507.txt
Florida during your administra-,bp507.txt
"tion. You, by your own words, have!",bp507.txt
the power by law to show the coun,bp507.txt
try what one determined chief et,bp507.txt
ecutive of the state can do to up-.,bp507.txt
hold the dignity of the law under,bp507.txt
all conditions.,bp507.txt
