value,filename
paper calling on the men of the city,17678_0.txt
to join him in lynching a negro in the,17678_0.txt
county jail who charged with at,17678_0.txt
tacking a white was woman.,17678_0.txt
Blecase and is a member of his,17678_0.txt
staff. After the lynching of a negro,17678_0.txt
one last year Col. Cheshire got,17678_0.txt
"out an night extra edition of his paper, in",17678_0.txt
"Terry, Miss., robbery for.",17679_0.txt
"Jerry Bell, a negro, was lynched at",17679_0.txt
negro woman suspected of theft.,17679_1.txt
"Near Rome, Tenn., a mob lynched a",17679_1.txt
Stabbing Affray at Monroe.,17682_0.txt
A stabbing affray occurred at Mon-,17682_0.txt
roe on the afternoon of the 30th that,17682_0.txt
"may result in murder. Wm. Stokes,",17682_0.txt
"colored, stabbed William Rudert, a",17682_0.txt
"butcher, with a putty knife during an",17682_0.txt
"altercation in Jacob Hermann's saloon,",17682_0.txt
on Monroe street. The men had been,17682_0.txt
drinking heavily all day and at the,17682_0.txt
time of the trouble both were intoxicated,17682_0.txt
and quarrelsome. The knife en-,17682_0.txt
tered between the two lower ribs on,17682_0.txt
the left side and went through the,17682_0.txt
lung and into the spleen. Stokes was,17682_0.txt
immediately arrested. In the mean,17682_0.txt
time a crowd had collected at the police,17682_0.txt
station with the determination to,17682_0.txt
break into Stokes' cell and take him,17682_0.txt
out and hang him to a tree in the park.,17682_0.txt
While the crowd was raving outside,17682_0.txt
the officers took Stokes out of the back,17682_0.txt
door of the station house and down the,17682_0.txt
"alley to the county jail, where he is",17682_0.txt
confined awaiting the result of,17682_0.txt
now Rudert's injuries.,17682_0.txt
Five California Men Lynched for Stealing.,17682_1.txt
Details have been received of the,17682_1.txt
"lynching of five men at Lookout, Mo",17682_1.txt
"doe county, Cal., early on the morning",17682_1.txt
of the 31st. The men lynched had been,17682_1.txt
"suspected of stealing for some time,",17682_1.txt
"and recently they were arrested, and a",17682_1.txt
search of their premises revealed the,17682_1.txt
stolen plunder. On the day in question,17682_1.txt
"a mob, variously estimated at from",17682_1.txt
"30 to 50 people, suddenly made their",17682_1.txt
"appearance at the hotel and, pointing",17682_1.txt
"their guns at the two officers on guard,",17682_1.txt
commanded them to observe silence,17682_1.txt
"while they secured the five prisoners,",17682_1.txt
placed ropes around their necks and,17682_1.txt
"dragged them to a nearby bridge, and",17682_1.txt
strung the entire bunch up. One of,17682_1.txt
the prisoners made such strong resistance,17682_1.txt
that the mob hanged him before,17682_1.txt
it got to the main bridge. Both of the,17682_1.txt
guards were compelled to accompany,17682_1.txt
the prisoners to the scene of the,17682_1.txt
cution. exe,17682_1.txt
AN ACT OF CHIVALRY.,17683_0.txt
N INCIDENT FULL of the purest Christian chivalry comes from In-,17683_0.txt
"Adianapolis. Dorothy Darter, a young girl, had been attacked and beaten",17683_0.txt
to insensibility by a negro. The man was afterwards captured and,17683_0.txt
taken to the girl's home for identification. She pronounced him to be the man,17683_0.txt
"at once, but seeing a crowd gathered, and fearing the negro would be lynched,",17683_0.txt
