value,filename
TERRELL APPROVES.,19598_4.txt
"Terrell, Tex., Feb. 2 .-( Special.)- The",19598_4.txt
particulars of the burning of the negro,19598_4.txt
Smith at Paris yesterday were eagerly,19598_4.txt
"sought, and as a consequence a batch of",19598_4.txt
extra Gazette has been ordered to sup,19598_4.txt
ply the demand. act of the citizens,19598_4.txt
of Paris is generally The approved.,19598_4.txt
WEATHERFORD OPINION.,19598_5.txt
"Weatherford Tex., Feb. 2 .-( Special.)",19598_5.txt
"The summary justice, dealt out to Henry",19598_5.txt
Smith for the horrible erime which he,19598_5.txt
"confessed, by a justly enraged populace",19598_5.txt
fully meets the hearty approval and comed,19598_5.txt
mendation of all classes of citizens. It,19598_5.txt
"was indeed a horrible death, but then it",19598_5.txt
"was fiendish, diabolical crime, and all",19598_5.txt
of this a people think as one man that,19598_5.txt
desperate cases require the most desperate,19598_5.txt
remedies. Even his colored brethren,19598_5.txt
are in exact concord with the spirit,19598_5.txt
mandfested and exhibited by the citizens,19598_5.txt
"of Paris and of Lamar county, and more",19598_5.txt
like unto the one just played will,19598_5.txt
acts have a civilizing effect on all wrong doers.,19598_5.txt
AT GAINESVILLE.,19598_6.txt
"Gainesville, Tex .. Feb. 2 .--( Special.)",19598_6.txt
The capture of the negro rapist and,19598_6.txt
"murderer, Henry Smith, and his burning",19598_6.txt
monopolized town gossip here today.,19598_6.txt
The news of his capture reached here,19598_6.txt
too late to enable any one to reach Paris,19598_6.txt
"today, but as soon as it became known",19598_6.txt
several telegrams were sent to Paris re,19598_6.txt
"questing that"" the ceremonies be postponed",19598_6.txt
until the Gainesville contingent,19598_6.txt
"could arrive."" All these telegrams were",19598_6.txt
"answered, however, with the statement",19598_6.txt
that the ceremonies would begin promptly,19598_6.txt
"at 1 o'clock, and the indignant citizens",19598_6.txt
of Gainesville had to contend themselves,19598_6.txt
frequent bulletins from there. It,19598_6.txt
is with quite safe to assert that had the negro,19598_6.txt
reached Paris.,19598_6.txt
been captured here he would never have,19598_6.txt
