value,filename
( By The Associated Negro Press.),88852_0.txt
"Frankfort, Ky., March 31.- Declaring",88852_0.txt
that a jailer should protect,88852_0.txt
a prisoner in his custody with the,88852_0.txt
last ounce of strength and with all,88852_0.txt
"his courage and watchfulness, Gov-",88852_0.txt
ernor Edwin P. Morrow last Wed-,88852_0.txt
"nesday, refused to reinstate John",88852_0.txt
"H. Edger, jailer of Woodford county",88852_0.txt
", when he removed from office",88852_0.txt
because he was alleged to have per-,88852_0.txt
mob to take Richard,88852_0.txt
mitted a,88852_0.txt
Negro from jail and lynen,88852_0.txt
James a,88852_0.txt
",",88852_0.txt
"him March, 12.",88852_0.txt
"that is perpretrated upon our people- LYNCHING, the thing that disables",88853_0.txt
brands her as uncivilized in the true and the thing that if kept up will,88853_0.txt
style herself star sense among the one,88853_0.txt
"eventually cause eternal downfall, Mr. Harding said"" Congress out to wipe",88853_0.txt
the stain of barbarie lynching from the banners of a free representative demoe-,88853_0.txt
racy A proposal for a commission with white and black representatives to,88853_0.txt
"study. the report on the subject the President said"" has real merit.""",88853_0.txt
Negroes all over the country should urge their congressmen and representatives,88853_0.txt
to see that the message of the MASTER AMERICAN be interpretated,88853_0.txt
in actions and establishment plus enforcement of such measures that will wipe,88853_0.txt
stain of lynching from the name of America. If they do not America will,88853_0.txt
the one day have to pay the debt.,88853_0.txt
Some governors and other executives recommend rewards for rounding up,88853_0.txt
"lyncherats, some the dismissal from office of sheriffs or other supposed law en-",88853_0.txt
foreing individuals who permit a mob to take a prisoner out and lynch him. I,88853_0.txt
have always thought that a pop- gun variety of government. What bunch of,88853_0.txt
organized thieves would expose any of their group to uphold the law for a,88853_0.txt
Negro? What cracker cares enough about right to take a stand for a Negro,88853_0.txt
for a few hundred or even a thousand dollars- risk his life which would be,88853_0.txt
sought by those whom he had betrayed? What profit would it be to fire a,88853_0.txt
treacherous sheriff in order to instate another lyncherat in his stead? That is,88853_0.txt
"as, absurd as to think that a gnat could stop the river from",88853_0.txt
flowing just on to join the ocean.,88853_0.txt
Lynching should be made a federal offense and if officers or any one is,88853_0.txt
found backing or taking part in such they should be administered this punishment,88853_0.txt
""" an eye for an eye and tooth for a tooth and then not until then",88853_0.txt
will the cursed barbarie crime of a lynching be stopped.,88853_0.txt
lynching here last night of Ben,88854_0.txt
"Campbell, a Negro, was reported to",88854_0.txt
day. He was taken from the city,88854_0.txt
"jail by a mob, hanged to a telephone",88854_0.txt
"pole, and his body riddled with bullets",88854_0.txt
. was accused of attempting,88854_0.txt
to attack He a white woman.,88854_0.txt
Huland Williams was indieted,88855_0.txt
for the killing of the Negro named,88855_0.txt
""" Black Strap."" The jury will",88855_0.txt
continue tomorrow investigation of,88855_0.txt
the recent lynching of Eugene,88855_0.txt
Hamilton. The investigation was,88855_0.txt
begun this morning and Superior,88855_0.txt
Judge Parks in charging the jur,88855_0.txt
"acted to check"" these cold- blooded",88855_0.txt
murders and outrages I firmly believe,88855_0.txt
God Almighty will soon take,88855_0.txt
hand,88855_0.txt
"""",88855_0.txt
the situation in. Judge,88855_0.txt
Parks had a prayer said in court,88855_0.txt
before instructing the jury.,88855_0.txt
""" Lawlessness in this section has",88855_0.txt
now reached the point where it will,88855_0.txt
cause us to be shunned unless we,88855_0.txt
"check it"" Judge Parks said."" We",88855_0.txt
will soon reach the stage where no,88855_0.txt
capital will come here and help us,88855_0.txt
natural,88855_0.txt
develope our great,88855_0.txt
sources. re-,88855_0.txt
NEGRO LYNCHED.,88855_1.txt
"Brandon, Miss., April 4.- Sandy",88855_1.txt
"Thompson, Negro, who shot and",88855_1.txt
"killed B. E. Dobson, a planter near",88855_1.txt
"here Friday, lynched near",88855_1.txt
was,88855_1.txt
"Langford, during the night. The",88855_1.txt
body was found today,88855_1.txt
from the limbs of a tree. swinging,88855_1.txt
SHERIFF MAKES MOB,88855_2.txt
PRISONER,88855_2.txt
ZEPUTIES; SAVE,88855_2.txt
"Tampa, Fla., April 7.- The quick wit",88855_2.txt
of Sheriff John Logan of Polk county,88855_2.txt
"saved from lynching Wilmer Collins, a",88855_2.txt
Negro yesterday,88855_2.txt
"Collins, who was. arrected on a charge",88855_2.txt
The Arkansas riots of 1919 and,88855_3.txt
the burning at stake in January of,88855_3.txt
this of Henry laid,88855_3.txt
year Lowry are,88855_3.txt
",",88855_3.txt
to the same cause and it is stated in,88855_3.txt
the telegram that the practice of,88855_3.txt
peonage is widespread in southern,88855_3.txt
"state, especially in the Mississippi",88855_3.txt
Delta region. It is called the greatest,88855_3.txt
cause of unrest next to,88855_3.txt
. lynch-,88855_3.txt
FacCormick For,88855_4.txt
Federal,88855_4.txt
To End Lynching Inquiry,88855_4.txt
"Washington, D. C., April 12.Jing",88855_4.txt
Backed by the strong recommendation,88855_4.txt
of President Harding in his,88855_4.txt
"first message, Senator McCormick,",88855_4.txt
"Illinois, introduced today a joint",88855_4.txt
resolution creating a commission to,88855_4.txt
devise more adequate methods of,88855_4.txt
Negro lynchings and,88855_4.txt
preventing mob violence.,88855_4.txt
The commission would be empowered,88855_4.txt
"to conduct"" A general inquiry",88855_4.txt
into the subject of lynchings,88855_4.txt
"and mob violence, including the",88855_4.txt
number of lynchings within the last,88855_4.txt
twenty years and causes there-,88855_4.txt
of. the,88855_4.txt
"President Harding, in his address",88855_4.txt
"today, called on congress"" to",88855_4.txt
wipe the stain of barbaric lynching,88855_4.txt
from the banners of a free and orderly,88855_4.txt
